repeat,rule,label,fdp,correct,total,units,supp_units,fmax,prec,rec
58,Fmax-full,score>=1,0.8276318309620776,19825.0,154690.0,2379,2006,0.09799023501939558,0.1567439581941187,0.07127397939388119
58,Top-1,top1,0.5800579230450972,977.0,2379.0,2379,977,,,
58,Top-3,top3,0.6301889394566267,2563.0,7128.0,2379,1275,,,
59,Fmax,score>=4.43304,0.7306184139211631,9019.0,36665.0,2336,1623,0.33296332420538516,0.2598570180441707,0.4633067026824134
59,Fmax-full,score>=1,0.8364303427129152,19457.0,159461.0,2382,1977,0.0988443259600415,0.16012961680928928,0.07148526812008295
59,Top-1,top1,0.6102606537029375,907.0,2382.0,2382,907,,,
59,Top-3,top3,0.652875465453041,2412.0,7142.0,2382,1215,,,
60,Fmax,score>=5.21146,0.6949074407044412,8154.0,30134.0,2288,1592,0.32955871389478375,0.27163461164309327,0.4188823166316785
60,Fmax-full,score>=1,0.8237718566850591,19651.0,155708.0,2370,2006,0.09748852642201285,0.1564301728621134,0.07080846087328108
60,Top-1,top1,0.5841952834091849,958.0,2370.0,2370,958,,,
60,Top-3,top3,0.6342573438146464,2511.0,7105.0,2370,1277,,,
61,Fmax,score>=4.65118,0.7094506560803864,9211.0,34029.0,2326,1623,0.3262807445812943,0.25722988553239035,0.44600697616763696
61,Fmax-full,score>=1,0.8279823822295788,19741.0,153898.0,2382,2017,0.09783338614795731,0.15643993114101648,0.07117088578906372
61,Top-1,top1,0.5899875879189077,956.0,2382.0,2382,956,,,
61,Top-3,top3,0.6339815197903738,2549.0,7146.0,2382,1286,,,
62,Fmax,score>=4.43304,0.7125281008366483,9062.0,35346.0,2315,1637,0.3279145620697461,0.2546546395866854,0.460349485103215
62,Fmax-full,score>=1,0.8309842715860926,19310.0,152779.0,2378,2014,0.09910178384535032,0.15835936177484244,0.07211614712448544
62,Top-1,top1,0.5875051717004551,958.0,2378.0,2378,958,,,
62,Top-3,top3,0.6353606399117363,2527.0,7128.0,2378,1276,,,
63,Fmax,score>=4.43304,0.707438698481502,9163.0,35937.0,2308,1650,0.32728731294454194,0.2533486536041092,0.46216934801493437
63,Fmax-full,score>=1,0.8237393050477771,19739.0,152963.0,2370,2011,0.09807357850923823,0.15641598654633432,0.0714303883971921
63,Top-1,top1,0.5978485726106744,925.0,2370.0,2370,925,,,
63,Top-3,top3,0.6332919597296924,2514.0,7102.0,2370,1279,,,
64,Fmax,score>=4.41838,0.7144500569101806,9389.0,36497.0,2319,1630,0.3281773428942624,0.254606378462785,0.4615453015916425
64,Fmax-full,score>=1,0.8294834625935747,19748.0,157392.0,2380,2005,0.09805293140648601,0.1574000524158528,0.07120524941117018
64,Top-1,top1,0.5833678113363674,970.0,2380.0,2380,970,,,
64,Top-3,top3,0.6291545993656048,2576.0,7131.0,2380,1293,,,
65,Fmax,score>=4.72625,0.7092499734867541,8699.0,33754.0,2322,1617,0.32891569594961795,0.26039769860586465,0.4463676444004298
65,Fmax-full,score>=1,0.8294978622256339,19727.0,159515.0,2380,2031,0.09782396353719341,0.15740633924943084,0.070962731835983
65,Top-1,top1,0.5916425320645429,950.0,2380.0,2380,950,,,
65,Top-3,top3,0.6392221762515515,2501.0,7133.0,2380,1246,,,
66,Fmax,score>=4.36263,0.7065905789362094,9578.0,36619.0,2316,1653,0.3240399275582873,0.24943699647384512,0.4623100543233189
66,Fmax-full,score>=1,0.8230293019420326,19861.0,153229.0,2373,2017,0.09793974224709392,0.15564982570438118,0.07144877343728702
