repeat,alpha,delta,arm,label,fdp,pool_risk,correct,total,units,supp_units,frontier,frontier_all
4,0.2,0.1,global-dense,global_23.4366,0.2065690602646965,0.1974980164058768,1861,4126,937,602,1861,1865
4,0.2,0.1,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1672829471428245,0.1622625495845993,1850,4012,815,566,1559,1565
4,0.2,0.1,goco-N,top10925,0.190474126969296,0.1914583334791395,2256,3341,1352,1059,1792,1796
5,0.05,0.5,global-coarse,global_62.0008,0.0383484051460882,0.0389127564393118,387,638,225,150,387,387
5,0.05,0.5,global-dense,global_54.7578,0.0546146344346592,0.0513783510369246,464,844,268,162,464,464
5,0.05,0.5,goco-M,adapt_62.0008_to_52.5656_q0.75,0.0462793309297239,0.0453607722575856,466,852,238,155,422,427
5,0.05,0.5,goco-N,top3426,0.0506895600606812,0.0480297227641689,713,992,493,407,445,454
5,0.05,0.1,global-coarse,global_62.0008,0.0383484051460882,0.0389127564393118,387,638,225,150,387,387
5,0.05,0.1,global-dense,global_56.5397,0.0506915302322832,0.0474533433182902,456,803,257,159,456,456
5,0.05,0.1,goco-M,adapt_62.0008_to_52.5656_q0.75,0.0462793309297239,0.0453607722575856,466,852,238,155,422,427
5,0.05,0.1,goco-N,top3012,0.0456900854397751,0.0429309899340248,635,874,451,374,422,422
5,0.1,0.5,global-coarse,global_37.7842,0.0866739234654005,0.0841259987693978,766,1625,400,256,766,769
5,0.1,0.5,global-dense,global_34.418,0.1019287979983056,0.0988342672333567,896,1924,469,297,896,899
5,0.1,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0953632906880734,0.0938487957835454,948,2008,463,320,812,815
5,0.1,0.5,goco-N,top6525,0.1065946718201579,0.1018609174734157,1247,1863,835,656,916,924
5,0.1,0.1,global-coarse,global_37.7842,0.0866739234654005,0.0841259987693978,766,1625,400,256,766,769
5,0.1,0.1,global-dense,global_35.5381,0.09904528767789,0.0963281744389483,850,1844,445,276,850,850
5,0.1,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0953632906880734,0.0938487957835454,948,2008,463,320,812,815
5,0.1,0.1,goco-N,top5736,0.0932744908748218,0.0886826754429182,1119,1650,759,597,812,815
5,0.2,0.5,global-coarse,global_23.0262,0.2022598139770619,0.2004877907264698,1671,3907,901,563,1671,1672
5,0.2,0.5,global-dense,global_23.0262,0.2022598139770619,0.2004877907264698,1671,3907,901,563,1671,1672
