repeat,alpha,delta,method,threshold,fdp,pool_risk,supp_genes,supp_terms,calls,genes
3,0.2,0.5,Multilabel,17.851759,0.18016088650175888,0.17711539830507947,823,2062,3872,1158
3,0.2,0.5,Hoeffding/LTT,18.432684,0.1700436280646297,0.16645173965294605,802,1993,3686,1116
3,0.2,0.5,Hoeffding-Bentkus,18.139896,0.1782845883249761,0.17406843330206107,814,2033,3807,1147
3,0.2,0.5,IID-normal,17.851759,0.18016088650175888,0.17711539830507947,823,2062,3872,1158
3,0.2,0.5,Empirical Bernstein,18.432684,0.1700436280646297,0.16645173965294605,802,1993,3686,1116
3,0.2,0.5,Platt calibration,19.651863,0.15562591061783307,0.15372149124034087,767,1870,3381,1056
3,0.2,0.5,Isotonic calibration,18.432684,0.1700436280646297,0.16645173965294605,802,1993,3686,1116
3,0.2,0.1,Multilabel,18.432684,0.1700436280646297,0.16645173965294605,802,1993,3686,1116
3,0.2,0.1,Hoeffding/LTT,18.432684,0.1700436280646297,0.16645173965294605,802,1993,3686,1116
3,0.2,0.1,Hoeffding-Bentkus,18.432684,0.1700436280646297,0.16645173965294605,802,1993,3686,1116
3,0.2,0.1,IID-normal,18.432684,0.1700436280646297,0.16645173965294605,802,1993,3686,1116
3,0.2,0.1,Empirical Bernstein,18.432684,0.1700436280646297,0.16645173965294605,802,1993,3686,1116
3,0.2,0.1,Platt calibration,19.651863,0.15562591061783307,0.15372149124034087,767,1870,3381,1056
3,0.2,0.1,Isotonic calibration,18.432684,0.1700436280646297,0.16645173965294605,802,1993,3686,1116
4,0.05,0.5,Multilabel,34.973566,0.03983075621201631,0.04130510419017528,392,828,1161,459
4,0.05,0.5,Hoeffding/LTT,36.694525,0.0327848296022771,0.03458856506842288,360,755,1034,416
4,0.05,0.5,Hoeffding-Bentkus,34.973566,0.03983075621201631,0.04130510419017528,392,828,1161,459
4,0.05,0.5,IID-normal,34.973566,0.03983075621201631,0.04130510419017528,392,828,1161,459
4,0.05,0.5,Empirical Bernstein,35.538059,0.037298253711823985,0.039108074653098346,384,813,1129,446
4,0.05,0.5,Platt calibration,40.394661,0.023736313049721774,0.02605220279983313,298,648,854,337
4,0.05,0.5,Isotonic calibration,36.694525,0.0327848296022771,0.03458856506842288,360,755,1034,416
4,0.05,0.1,Multilabel,35.538059,0.037298253711823985,0.039108074653098346,384,813,1129,446
4,0.05,0.1,Hoeffding/LTT,38.500168,0.027965228094468803,0.02954455694384604,339,710,953,386
4,0.05,0.1,Hoeffding-Bentkus,36.111663,0.03657973690283868,0.03820718183869842,374,782,1079,438
4,0.05,0.1,IID-normal,35.538059,0.037298253711823985,0.039108074653098346,384,813,1129,446
4,0.05,0.1,Empirical Bernstein,36.694525,0.0327848296022771,0.03458856506842288,360,755,1034,416
4,0.05,0.1,Platt calibration,40.394661,0.023736313049721774,0.02605220279983313,298,648,854,337
4,0.05,0.1,Isotonic calibration,36.694525,0.0327848296022771,0.03458856506842288,360,755,1034,416
4,0.1,0.5,Multilabel,27.506363,0.08646459984101341,0.08806463415468155,545,1219,1937,708
4,0.1,0.5,Hoeffding/LTT,28.401465,0.08136625894299561,0.08311401934032264,532,1172,1837,685
4,0.1,0.5,Hoeffding-Bentkus,27.950331,0.08344359822550453,0.08508818722088864,537,1190,1879,694
4,0.1,0.5,IID-normal,27.506363,0.08646459984101341,0.08806463415468155,545,1219,1937,708
4,0.1,0.5,Empirical Bernstein,28.401465,0.08136625894299561,0.08311401934032264,532,1172,1837,685
4,0.1,0.5,Platt calibration,30.768736,0.06383144857296716,0.065266963815542,481,1050,1579,595
4,0.1,0.5,Isotonic calibration,28.401465,0.08136625894299561,0.08311401934032264,532,1172,1837,685
4,0.1,0.1,Multilabel,27.950331,0.08344359822550453,0.08508818722088864,537,1190,1879,694
4,0.1,0.1,Hoeffding/LTT,29.325694,0.07655691463445906,0.07732149696012257,515,1126,1746,659
4,0.1,0.1,Hoeffding-Bentkus,28.401465,0.08136625894299561,0.08311401934032264,532,1172,1837,685
4,0.1,0.1,IID-normal,27.950331,0.08344359822550453,0.08508818722088864,537,1190,1879,694
4,0.1,0.1,Empirical Bernstein,28.85988,0.07785214247249787,0.0800017781060435,524,1150,1789,669
4,0.1,0.1,Platt calibration,30.768736,0.06383144857296716,0.065266963815542,481,1050,1579,595
4,0.1,0.1,Isotonic calibration,28.401465,0.08136625894299561,0.08311401934032264,532,1172,1837,685
4,0.2,0.5,Multilabel,17.568199,0.18471661259221842,0.17920019834873344,815,2036,3869,1168
4,0.2,0.5,Hoeffding/LTT,18.139896,0.1798705826573355,0.174260375676791,798,1965,3718,1146
4,0.2,0.5,Hoeffding-Bentkus,17.851759,0.1829593866912122,0.17743120970178275,802,1994,3779,1158
4,0.2,0.5,IID-normal,17.568199,0.18471661259221842,0.17920019834873344,815,2036,3869,1168
4,0.2,0.5,Empirical Bernstein,18.139896,0.1798705826573355,0.174260375676791,798,1965,3718,1146
4,0.2,0.5,Platt calibration,19.339709,0.16137117773628273,0.15759968973292973,766,1831,3350,1076
4,0.2,0.5,Isotonic calibration,18.432684,0.1721283688488858,0.166688135276567,780,1917,3591,1110
4,0.2,0.1,Multilabel,18.139896,0.1798705826573355,0.174260375676791,798,1965,3718,1146
4,0.2,0.1,Hoeffding/LTT,18.432684,0.1721283688488858,0.166688135276567,780,1917,3591,1110
4,0.2,0.1,Hoeffding-Bentkus,18.432684,0.1721283688488858,0.166688135276567,780,1917,3591,1110
4,0.2,0.1,IID-normal,18.139896,0.1798705826573355,0.174260375676791,798,1965,3718,1146
4,0.2,0.1,Empirical Bernstein,18.432684,0.1721283688488858,0.166688135276567,780,1917,3591,1110
4,0.2,0.1,Platt calibration,19.339709,0.16137117773628273,0.15759968973292973,766,1831,3350,1076
4,0.2,0.1,Isotonic calibration,18.432684,0.1721283688488858,0.166688135276567,780,1917,3591,1110
5,0.05,0.5,Multilabel,34.973566,0.041211631663974145,0.03988591056126601,421,838,1172,489
5,0.05,0.5,Hoeffding/LTT,36.111663,0.03651024437777265,0.03653341129644447,400,784,1085,457
5,0.05,0.5,Hoeffding-Bentkus,34.973566,0.041211631663974145,0.03988591056126601,421,838,1172,489
5,0.05,0.5,IID-normal,34.973566,0.041211631663974145,0.03988591056126601,421,838,1172,489
5,0.05,0.5,Empirical Bernstein,35.538059,0.03766712824063389,0.03762126170301525,410,820,1138,469
5,0.05,0.5,Platt calibration,40.394661,0.026103289996666407,0.024949948024592578,306,625,846,346
5,0.05,0.5,Isotonic calibration,35.538059,0.03766712824063389,0.03762126170301525,410,820,1138,469
5,0.05,0.1,Multilabel,34.973566,0.041211631663974145,0.03988591056126601,421,838,1172,489
5,0.05,0.1,Hoeffding/LTT,37.784172,0.030767110290535166,0.030889677068587022,353,707,968,399
5,0.05,0.1,Hoeffding-Bentkus,35.538059,0.03766712824063389,0.03762126170301525,410,820,1138,469
5,0.05,0.1,IID-normal,34.973566,0.041211631663974145,0.03988591056126601,421,838,1172,489
5,0.05,0.1,Empirical Bernstein,36.111663,0.03651024437777265,0.03653341129644447,400,784,1085,457
5,0.05,0.1,Platt calibration,40.394661,0.026103289996666407,0.024949948024592578,306,625,846,346
5,0.05,0.1,Isotonic calibration,35.538059,0.03766712824063389,0.03762126170301525,410,820,1138,469
