repeat,rule,label,fdp,correct,total,units,supp_units,fmax,prec,rec
13,Fmax,score>=5.12019,0.5513532969852731,5630.0,19914.0,2356,1482,0.3439999339123046,0.28621707252986667,0.43101536122933615
13,Fmax-full,score>=1,0.7843166977543311,11841.0,81214.0,2903,2171,0.06882124633973359,0.16403397568818923,0.04354548169600468
13,Top-1,top1,0.5967689822294022,1056.0,2903.0,2903,1056,,,
13,Top-3,top3,0.639203015616586,2737.0,8526.0,2903,1445,,,
14,Fmax,score>=5.12019,0.5450571115292134,5732.0,20001.0,2362,1521,0.3399194938744595,0.28189693593384196,0.4280180011948154
14,Fmax-full,score>=1,0.7823564327155504,11890.0,80026.0,2902,2147,0.06902528977710465,0.16326526822739362,0.04376389450440373
14,Top-1,top1,0.5880452342487884,1082.0,2902.0,2902,1082,,,
14,Top-3,top3,0.6346795907377492,2771.0,8493.0,2902,1477,,,
15,Fmax,score>=5.12019,0.5454590021756557,5517.0,19410.0,2336,1477,0.3439506552142656,0.2854994198731434,0.43249723723208766
15,Fmax-full,score>=1,0.7905200077726539,11844.0,80070.0,2913,2103,0.0696386770466469,0.16562943996013374,0.04408763142949062
15,Top-1,top1,0.6022617124394184,1049.0,2913.0,2913,1049,,,
15,Top-3,top3,0.6483575659666128,2687.0,8518.0,2913,1413,,,
16,Fmax,score>=5.12019,0.5461280338310162,5517.0,19430.0,2368,1498,0.3397825825871123,0.28171605641049535,0.4280009401464628
16,Fmax-full,score>=1,0.7908702002390492,11546.0,79224.0,2929,2161,0.06945306549583868,0.16381974930254423,0.04406809312481206
16,Top-1,top1,0.6019386106623587,1066.0,2929.0,2929,1066,,,
16,Top-3,top3,0.6440495422724825,2774.0,8575.0,2929,1467,,,
17,Fmax,score>=5.21146,0.5435668991809385,5654.0,19445.0,2350,1485,0.34079746108559994,0.2846529490874542,0.4245313808768414
17,Fmax-full,score>=1,0.7893033397653627,11917.0,80409.0,2929,2146,0.06902657541910573,0.16310428262121296,0.043776510451866084
17,Top-1,top1,0.607108239095315,1050.0,2929.0,2929,1050,,,
17,Top-3,top3,0.6426494345718902,2787.0,8544.0,2929,1474,,,
18,Fmax,score>=5.12019,0.5507160653915233,5649.0,19585.0,2390,1518,0.33995418560384233,0.28142334740808345,0.429225034148129
18,Fmax-full,score>=1,0.7875239267825539,11958.0,81032.0,2918,2167,0.06884504366371122,0.16364907120706917,0.04359176774141054
18,Top-1,top1,0.5919224555735056,1086.0,2918.0,2918,1086,,,
18,Top-3,top3,0.6380721593968767,2805.0,8577.0,2918,1493,,,
19,Fmax,score>=5.12019,0.5440138567282538,5864.0,20206.0,2358,1513,0.3390091609371292,0.2818321954048367,0.4252903266194533
19,Fmax-full,score>=1,0.7873927142959736,12090.0,80866.0,2916,2140,0.06830057087673214,0.1638355826503936,0.04314314754836412
19,Top-1,top1,0.5935379644588046,1079.0,2916.0,2916,1079,,,
19,Top-3,top3,0.6367797522886376,2810.0,8517.0,2916,1469,,,
20,Fmax,score>=5.12019,0.5575416673729313,5475.0,19559.0,2393,1505,0.3421500603724483,0.2848906309348025,0.42821610540550203
20,Fmax-full,score>=1,0.78302857668223,11645.0,79808.0,2898,2147,0.06937108542239982,0.1640623345372721,0.04398463612810767
20,Top-1,top1,0.5906300484652666,1070.0,2898.0,2898,1070,,,
20,Top-3,top3,0.6395261173936457,2719.0,8482.0,2898,1450,,,
21,Fmax,score>=5.20283,0.5447537765625947,5479.0,19424.0,2354,1489,0.34220722485442584,0.2845100201221427,0.4292587447579832
21,Fmax-full,score>=1,0.7852919801727359,11886.0,82090.0,2905,2155,0.06924352244021491,0.1642319420269633,0.04387000346867263
21,Top-1,top1,0.5877221324717286,1086.0,2905.0,2905,1086,,,
21,Top-3,top3,0.639041464728056,2749.0,8517.0,2905,1470,,,
22,Fmax,score>=5.20283,0.5532962567914798,5492.0,19479.0,2367,1478,0.3440987632364562,0.2876453305081627,0.42812228036141364
22,Fmax-full,score>=1,0.791206755676307,11963.0,81603.0,2923,2155,0.06960269193208744,0.16471283901104916,0.04412410604415854
22,Top-1,top1,0.6006462035541196,1064.0,2923.0,2923,1064,,,
22,Top-3,top3,0.6468497576736673,2727.0,8555.0,2923,1462,,,
23,Fmax,score>=5.12019,0.5584778662232107,5581.0,19860.0,2392,1498,0.3435878267235408,0.2855508364923104,0.4312343751460974
23,Fmax-full,score>=1,0.7863349797161207,11907.0,81103.0,2902,2137,0.06913041246731523,0.1650747616832001,0.04371973501785226
23,Top-1,top1,0.6035541195476575,1034.0,2902.0,2902,1034,,,
23,Top-3,top3,0.6396338179859989,2746.0,8525.0,2902,1467,,,
24,Fmax,score>=5.12019,0.5535651491463399,5594.0,19853.0,2384,1494,0.34320309884041256,0.28381921860091386,0.43401202344275897
24,Fmax-full,score>=1,0.785642628164937,12000.0,80778.0,2918,2164,0.06898218823532667,0.16279141629153998,0.04376336680783849
24,Top-1,top1,0.6012924071082391,1057.0,2918.0,2918,1057,,,
24,Top-3,top3,0.6451265481960152,2728.0,8557.0,2918,1456,,,
