repeat,alpha,K,yield_M_T,yield_N_T,choose_N,label_M,label_N
78,0.05,10,323,342,1,adapt_37.7842_to_32.0342_q0.75,top3813
78,0.1,10,512,592,1,adapt_27.1593_to_23.0262_q0.75,top7261
78,0.2,10,826,934,1,adapt_16.5512_to_14.0325_q0.5,top13828
79,0.05,10,286,254,0,adapt_37.7842_to_32.0342_q0.75,top3352
79,0.1,10,474,452,0,adapt_27.1593_to_23.0262_q0.6,top6383
79,0.2,10,693,792,1,adapt_19.5221_to_16.5512_q0.75,top12156
80,0.05,10,292,273,0,adapt_37.7842_to_32.0342_q0.75,top3352
80,0.1,10,478,481,1,adapt_27.1593_to_23.0262_q0.75,top6383
80,0.2,10,662,776,1,adapt_19.5221_to_16.5512_q0.75,top12156
81,0.05,10,328,336,1,adapt_37.7842_to_32.0342_q0.75,top3813
81,0.1,10,508,567,1,adapt_27.1593_to_23.0262_q0.6,top7261
81,0.2,10,752,920,1,adapt_19.5221_to_16.5512_q0.75,top13828
82,0.05,10,357,374,1,adapt_37.7842_to_32.0342_q0.75,top4337
82,0.1,10,510,592,1,adapt_27.1593_to_23.0262_q0.5,top7261
82,0.2,10,788,817,1,adapt_19.5221_to_16.5512_q0.75,top12156
83,0.05,10,340,429,1,adapt_37.7842_to_32.0342_q0.75,top4337
83,0.1,10,552,692,1,adapt_27.1593_to_23.0262_q0.75,top8259
83,0.2,10,789,1070,1,adapt_19.5221_to_16.5512_q0.75,top15729
84,0.05,10,321,329,1,adapt_37.7842_to_32.0342_q0.75,top3813
84,0.1,10,495,563,1,adapt_27.1593_to_23.0262_q0.75,top7261
84,0.2,10,811,892,1,adapt_16.5512_to_14.0325_q0.6,top13828
85,0.05,10,292,452,1,adapt_37.7842_to_32.0342_q0.75,top5612
85,0.1,10,477,621,1,adapt_27.1593_to_23.0262_q0.6,top8259
85,0.2,10,736,895,1,adapt_19.5221_to_16.5512_q0.75,top13828
86,0.05,10,377,343,0,adapt_32.0342_to_27.1593_q0.3,top3813
86,0.1,10,518,533,1,adapt_27.1593_to_23.0262_q0.75,top6383
86,0.2,10,736,922,1,adapt_19.5221_to_16.5512_q0.75,top13828
87,0.05,10,345,324,0,adapt_37.7842_to_32.0342_q0.75,top3813
87,0.1,10,561,592,1,adapt_27.1593_to_23.0262_q0.75,top7261
87,0.2,10,777,939,1,adapt_19.5221_to_16.5512_q0.75,top13828
88,0.05,10,320,356,1,adapt_37.7842_to_32.0342_q0.75,top4337
88,0.1,10,409,563,1,adapt_32.0342_to_27.1593_q0.75,top7261
88,0.2,10,725,897,1,adapt_19.5221_to_16.5512_q0.75,top13828
89,0.05,10,309,340,1,adapt_37.7842_to_32.0342_q0.75,top4337
89,0.1,10,409,505,1,adapt_32.0342_to_27.1593_q0.75,top7261
89,0.2,10,718,812,1,adapt_19.5221_to_16.5512_q0.75,top13828
90,0.05,10,302,301,0,adapt_37.7842_to_32.0342_q0.75,top3813
90,0.1,10,393,509,1,adapt_32.0342_to_27.1593_q0.75,top7261
90,0.2,10,804,854,1,adapt_16.5512_to_14.0325_q0.5,top13828
91,0.05,10,305,379,1,adapt_37.7842_to_32.0342_q0.75,top4933
91,0.1,10,455,566,1,adapt_27.1593_to_23.0262_q0.4,top8259
91,0.2,10,696,899,1,adapt_19.5221_to_16.5512_q0.75,top15729
92,0.05,10,257,292,1,adapt_37.7842_to_32.0342_q0.75,top3352
92,0.1,10,452,526,1,adapt_27.1593_to_23.0262_q0.75,top7261
92,0.2,10,785,874,1,adapt_16.5512_to_14.0325_q0.6,top13828
93,0.05,10,355,407,1,adapt_37.7842_to_32.0342_q0.75,top4933
93,0.1,10,539,571,1,adapt_27.1593_to_23.0262_q0.75,top7261
93,0.2,10,743,1015,1,adapt_19.5221_to_16.5512_q0.75,top15729
94,0.05,10,292,319,1,adapt_37.7842_to_32.0342_q0.75,top3813
94,0.1,10,495,554,1,adapt_27.1593_to_23.0262_q0.6,top7261
94,0.2,10,713,891,1,adapt_19.5221_to_16.5512_q0.75,top13828
95,0.05,10,317,304,0,adapt_37.7842_to_32.0342_q0.75,top3813
95,0.1,10,505,548,1,adapt_27.1593_to_23.0262_q0.75,top7261
95,0.2,10,707,904,1,adapt_19.5221_to_16.5512_q0.75,top13828
96,0.05,10,335,342,1,adapt_37.7842_to_32.0342_q0.75,top4337
96,0.1,10,509,526,1,adapt_27.1593_to_23.0262_q0.75,top7261
96,0.2,10,820,860,1,adapt_16.5512_to_14.0325_q0.5,top13828
97,0.05,10,318,364,1,adapt_37.7842_to_32.0342_q0.75,top4337
97,0.1,10,496,508,1,adapt_27.1593_to_23.0262_q0.75,top6383
97,0.2,10,832,910,1,adapt_16.5512_to_14.0325_q0.4,top13828
98,0.05,10,280,408,1,adapt_37.7842_to_32.0342_q0.75,top5612
98,0.1,10,466,575,1,adapt_27.1593_to_23.0262_q0.75,top8259
98,0.2,10,773,892,1,adapt_16.5512_to_14.0325_q0.5,top15729
99,0.05,10,289,296,1,adapt_37.7842_to_32.0342_q0.75,top4337
99,0.1,10,466,540,1,adapt_27.1593_to_23.0262_q0.6,top8259
99,0.2,10,696,846,1,adapt_19.5221_to_16.5512_q0.75,top13828
