repeat,alpha,yield_M_T,yield_N_T,choose_N,label_M,label_N
47,0.2,687,667,0,adapt_23.0262_to_19.5221_q0.75,top9604
48,0.05,176,231,1,adapt_62.0008_to_52.5656_q0.6,top2648
48,0.1,372,387,1,adapt_37.7842_to_32.0342_q0.6,top4433
48,0.2,639,793,1,adapt_27.1593_to_23.0262_q0.75,top10925
49,0.05,154,130,0,adapt_62.0008_to_52.5656_q0.75,top1799
49,0.1,311,261,0,adapt_37.7842_to_32.0342_q0.75,top3897
49,0.2,544,512,0,adapt_27.1593_to_23.0262_q0.75,top9604
50,0.05,177,148,0,adapt_52.5656_to_44.5662_q0.6,top2328
50,0.1,296,257,0,adapt_37.7842_to_32.0342_q0.75,top3897
50,0.2,602,596,0,adapt_23.0262_to_19.5221_q0.4,top9604
51,0.05,154,134,0,adapt_62.0008_to_52.5656_q0.75,top1582
51,0.1,378,315,0,adapt_32.0342_to_27.1593_q0.35,top4433
51,0.2,543,660,1,adapt_27.1593_to_23.0262_q0.75,top9604
52,0.05,145,178,1,adapt_62.0008_to_52.5656_q0.75,top2328
52,0.1,319,367,1,adapt_37.7842_to_32.0342_q0.75,top5043
52,0.2,575,662,1,adapt_27.1593_to_23.0262_q0.75,top9604
53,0.05,129,220,1,adapt_62.0008_to_52.5656_q0.6,top3012
53,0.1,287,441,1,adapt_37.7842_to_32.0342_q0.75,top6525
53,0.2,622,746,1,adapt_23.0262_to_19.5221_q0.4,top12426
54,0.05,257,177,0,adapt_52.5656_to_44.5662_q0.4,top1799
54,0.1,435,382,0,adapt_37.7842_to_32.0342_q0.75,top5043
54,0.2,828,744,0,adapt_23.0262_to_19.5221_q0.6,top10925
55,0.05,180,195,1,adapt_62.0008_to_52.5656_q0.6,top2046
55,0.1,458,403,0,adapt_32.0342_to_27.1593_q0.5,top5043
55,0.2,755,843,1,adapt_23.0262_to_19.5221_q0.75,top12426
56,0.05,191,269,1,adapt_62.0008_to_52.5656_q0.75,top2328
56,0.1,368,476,1,adapt_37.7842_to_32.0342_q0.75,top5043
56,0.2,730,830,1,adapt_23.0262_to_19.5221_q0.5,top9604
57,0.05,180,212,1,adapt_62.0008_to_52.5656_q0.75,top2328
57,0.1,358,406,1,adapt_37.7842_to_32.0342_q0.6,top5043
57,0.2,622,773,1,adapt_27.1593_to_23.0262_q0.75,top10925
58,0.05,151,222,1,adapt_62.0008_to_52.5656_q0.75,top3012
58,0.1,321,392,1,adapt_37.7842_to_32.0342_q0.6,top5736
58,0.2,596,629,1,adapt_27.1593_to_23.0262_q0.75,top9604
59,0.05,144,172,1,adapt_62.0008_to_52.5656_q0.75,top2046
59,0.1,352,350,0,adapt_37.7842_to_32.0342_q0.75,top4433
59,0.2,757,635,0,adapt_23.0262_to_19.5221_q0.6,top9604
60,0.05,108,200,1,adapt_73.1297_to_62.0008_q0.75,top2046
60,0.1,311,342,1,adapt_37.7842_to_32.0342_q0.75,top3897
60,0.2,537,705,1,adapt_27.1593_to_23.0262_q0.75,top8443
61,0.05,158,195,1,adapt_62.0008_to_52.5656_q0.75,top2648
61,0.1,437,416,0,adapt_32.0342_to_27.1593_q0.6,top5736
61,0.2,699,730,1,adapt_23.0262_to_19.5221_q0.6,top10925
62,0.05,125,179,1,adapt_62.0008_to_52.5656_q0.4,top2648
62,0.1,296,332,1,adapt_37.7842_to_32.0342_q0.75,top5043
62,0.2,575,752,1,adapt_23.0262_to_19.5221_q0.225,top12426
63,0.05,217,180,0,adapt_52.5656_to_44.5662_q0.6,top1582
63,0.1,350,356,1,adapt_37.7842_to_32.0342_q0.75,top3897
63,0.2,701,711,1,adapt_23.0262_to_19.5221_q0.5,top9604
64,0.05,176,171,0,adapt_62.0008_to_52.5656_q0.75,top1799
64,0.1,343,396,1,adapt_37.7842_to_32.0342_q0.75,top5043
64,0.2,709,767,1,adapt_23.0262_to_19.5221_q0.6,top10925
65,0.05,204,198,0,adapt_62.0008_to_52.5656_q0.75,top2328
65,0.1,419,399,0,adapt_37.7842_to_32.0342_q0.75,top5043
65,0.2,729,856,1,global_23.0262,top12426
66,0.05,142,155,1,adapt_52.5656_to_44.5662_q0.6,top2328
66,0.1,333,364,1,adapt_32.0342_to_27.1593_q0.5,top5736
66,0.2,564,607,1,adapt_23.0262_to_19.5221_q0.5,top10925
67,0.05,154,213,1,adapt_62.0008_to_52.5656_q0.75,top2648
67,0.1,306,420,1,adapt_37.7842_to_32.0342_q0.75,top5736
67,0.2,652,718,1,adapt_23.0262_to_19.5221_q0.6,top10925
68,0.05,103,204,1,adapt_62.0008_to_52.5656_q0.75,top2328
68,0.1,333,388,1,adapt_32.0342_to_27.1593_q0.6,top5043
68,0.2,584,791,1,adapt_23.0262_to_19.5221_q0.6,top12426
69,0.05,256,261,1,adapt_52.5656_to_44.5662_q0.6,top2648
69,0.1,518,432,0,adapt_32.0342_to_27.1593_q0.6,top5043
69,0.2,856,744,0,adapt_23.0262_to_19.5221_q0.75,top10925
70,0.05,154,170,1,adapt_62.0008_to_52.5656_q0.6,top2328
70,0.1,325,341,1,adapt_37.7842_to_32.0342_q0.75,top5043
70,0.2,681,692,1,adapt_23.0262_to_19.5221_q0.5,top10925
71,0.05,192,285,1,adapt_52.5656_to_44.5662_q0.75,top3426
71,0.1,385,380,0,adapt_32.0342_to_27.1593_q0.5,top5043
71,0.2,683,845,1,adapt_23.0262_to_19.5221_q0.75,top12426
72,0.05,167,175,1,adapt_62.0008_to_52.5656_q0.75,top2046
72,0.1,329,317,0,adapt_37.7842_to_32.0342_q0.75,top4433
72,0.2,541,602,1,adapt_27.1593_to_23.0262_q0.75,top9604
73,0.05,155,139,0,adapt_62.0008_to_52.5656_q0.6,top2046
73,0.1,354,279,0,adapt_37.7842_to_32.0342_q0.75,top3897
73,0.2,564,625,1,adapt_27.1593_to_23.0262_q0.75,top9604
74,0.05,198,181,0,adapt_62.0008_to_52.5656_q0.75,top2648
74,0.1,405,312,0,adapt_37.7842_to_32.0342_q0.75,top4433
74,0.2,698,617,0,adapt_27.1593_to_23.0262_q0.75,top9604
75,0.05,188,213,1,adapt_62.0008_to_52.5656_q0.75,top2328
75,0.1,371,391,1,adapt_37.7842_to_32.0342_q0.75,top4433
75,0.2,738,810,1,adapt_23.0262_to_19.5221_q0.6,top10925
76,0.05,146,227,1,adapt_62.0008_to_52.5656_q0.75,top2648
76,0.1,321,382,1,adapt_37.7842_to_32.0342_q0.75,top5043
76,0.2,669,742,1,adapt_23.0262_to_19.5221_q0.6,top10925
77,0.05,149,133,0,adapt_52.5656_to_44.5662_q0.6,top2328
77,0.1,315,257,0,adapt_32.0342_to_27.1593_q0.05,top3897
77,0.2,679,627,0,adapt_23.0262_to_19.5221_q0.75,top9604
78,0.05,181,261,1,adapt_62.0008_to_52.5656_q0.75,top2328
78,0.1,353,433,1,adapt_37.7842_to_32.0342_q0.75,top5043
78,0.2,681,790,1,adapt_23.0262_to_19.5221_q0.4,top10925
79,0.05,161,141,0,adapt_62.0008_to_52.5656_q0.75,top1582
79,0.1,307,259,0,adapt_37.7842_to_32.0342_q0.75,top3426
79,0.2,479,573,1,adapt_27.1593_to_23.0262_q0.75,top9604
80,0.05,190,163,0,adapt_62.0008_to_52.5656_q0.75,top2328
80,0.1,351,388,1,adapt_37.7842_to_32.0342_q0.75,top5736
80,0.2,572,640,1,adapt_27.1593_to_23.0262_q0.75,top10925
81,0.05,167,210,1,adapt_62.0008_to_52.5656_q0.75,top2648
81,0.1,322,447,1,adapt_37.7842_to_32.0342_q0.75,top5736
81,0.2,652,819,1,adapt_23.0262_to_19.5221_q0.5,top12426
82,0.05,205,153,0,adapt_62.0008_to_52.5656_q0.75,top1799
82,0.1,389,292,0,adapt_37.7842_to_32.0342_q0.75,top3897
82,0.2,624,741,1,adapt_27.1593_to_23.0262_q0.75,top10925
83,0.05,161,219,1,adapt_62.0008_to_52.5656_q0.75,top2328
83,0.1,322,394,1,adapt_37.7842_to_32.0342_q0.75,top5043
83,0.2,553,774,1,adapt_27.1593_to_23.0262_q0.75,top10925
84,0.05,165,117,0,adapt_62.0008_to_52.5656_q0.75,top2046
84,0.1,333,266,0,adapt_37.7842_to_32.0342_q0.75,top4433
84,0.2,701,588,0,adapt_23.0262_to_19.5221_q0.6,top9604
85,0.05,169,137,0,adapt_62.0008_to_52.5656_q0.75,top1390
85,0.1,371,300,0,adapt_37.7842_to_32.0342_q0.75,top3897
85,0.2,713,688,0,adapt_23.0262_to_19.5221_q0.4,top9604
86,0.05,197,139,0,adapt_52.5656_to_44.5662_q0.75,top1582
86,0.1,431,358,0,adapt_32.0342_to_27.1593_q0.6,top4433
86,0.2,666,747,1,adapt_23.0262_to_19.5221_q0.4,top10925
87,0.05,180,252,1,adapt_62.0008_to_52.5656_q0.75,top3012
87,0.1,348,424,1,adapt_37.7842_to_32.0342_q0.6,top5736
87,0.2,592,810,1,adapt_27.1593_to_23.0262_q0.75,top12426
88,0.05,192,262,1,adapt_62.0008_to_52.5656_q0.6,top2648
88,0.1,392,439,1,adapt_37.7842_to_32.0342_q0.75,top5043
88,0.2,777,772,0,adapt_23.0262_to_19.5221_q0.6,top10925
89,0.05,147,152,1,adapt_62.0008_to_52.5656_q0.6,top1582
89,0.1,287,306,1,adapt_37.7842_to_32.0342_q0.5,top3897
89,0.2,519,661,1,adapt_27.1593_to_23.0262_q0.75,top9604
90,0.05,138,161,1,adapt_62.0008_to_52.5656_q0.6,top2328
90,0.1,291,305,1,adapt_37.7842_to_32.0342_q0.5,top4433
90,0.2,518,597,1,adapt_27.1593_to_23.0262_q0.75,top9604
91,0.05,186,168,0,adapt_62.0008_to_52.5656_q0.75,top2328
91,0.1,285,351,1,adapt_44.5662_to_37.7842_q0.75,top5043
91,0.2,582,691,1,adapt_27.1593_to_23.0262_q0.75,top10925
92,0.05,161,160,0,adapt_62.0008_to_52.5656_q0.6,top2648
92,0.1,353,282,0,adapt_37.7842_to_32.0342_q0.75,top4433
92,0.2,586,587,1,adapt_27.1593_to_23.0262_q0.75,top9604
93,0.05,123,227,1,adapt_62.0008_to_52.5656_q0.3,top2328
93,0.1,300,323,1,adapt_37.7842_to_32.0342_q0.6,top3897
93,0.2,562,721,1,adapt_27.1593_to_23.0262_q0.75,top10925
94,0.05,170,182,1,adapt_62.0008_to_52.5656_q0.75,top2648
94,0.1,353,276,0,adapt_37.7842_to_32.0342_q0.75,top3897
94,0.2,556,599,1,adapt_27.1593_to_23.0262_q0.75,top9604
95,0.05,129,186,1,adapt_62.0008_to_52.5656_q0.75,top2328
95,0.1,283,346,1,adapt_37.7842_to_32.0342_q0.75,top4433
95,0.2,514,649,1,adapt_27.1593_to_23.0262_q0.75,top9604
96,0.05,184,293,1,adapt_62.0008_to_52.5656_q0.75,top3426
96,0.1,438,449,1,adapt_32.0342_to_27.1593_q0.5,top5736
96,0.2,760,803,1,adapt_23.0262_to_19.5221_q0.75,top10925
97,0.05,193,231,1,adapt_62.0008_to_52.5656_q0.5,top2046
97,0.1,423,398,0,adapt_37.7842_to_32.0342_q0.75,top3897
97,0.2,689,806,1,adapt_27.1593_to_23.0262_q0.75,top9604
98,0.05,160,212,1,adapt_52.5656_to_44.5662_q0.275,top2648
98,0.1,300,387,1,adapt_37.7842_to_32.0342_q0.75,top5043
98,0.2,670,694,1,adapt_23.0262_to_19.5221_q0.6,top9604
99,0.05,169,202,1,adapt_62.0008_to_52.5656_q0.75,top2328
99,0.1,375,408,1,adapt_37.7842_to_32.0342_q0.75,top5043
99,0.2,640,835,1,adapt_27.1593_to_23.0262_q0.75,top10925
