repeat,rule,cutoff,fdp,correct,total,units,supp_units
28,cutoff1,1.0,0.8306142074685275,19538.0,156636.0,2380,1998
28,cutoff1.30103,1.30103,0.8166910625683678,17433.0,120968.0,2380,1959
28,cutoff2,2.0,0.7917080084368694,14627.0,82750.0,2373,1889
29,cutoff0.30103,0.30103,0.8648019445202283,26605.0,319387.0,2375,2128
29,cutoff0.5,0.5,0.8544188799604132,23792.0,240443.0,2374,2100
29,cutoff1,1.0,0.8277795419572773,19601.0,158335.0,2373,2011
29,cutoff1.30103,1.30103,0.8134353584290518,17492.0,121724.0,2373,1966
29,cutoff2,2.0,0.7887886339398817,14529.0,82890.0,2365,1889
30,cutoff0.30103,0.30103,0.8686068873479788,26120.0,308353.0,2383,2135
30,cutoff0.5,0.5,0.857903408651541,23437.0,234490.0,2380,2097
30,cutoff1,1.0,0.8319814770304392,19331.0,155080.0,2379,2008
30,cutoff1.30103,1.30103,0.8188995450170844,17251.0,119975.0,2379,1969
30,cutoff2,2.0,0.795624223088067,14411.0,82460.0,2376,1897
31,cutoff0.30103,0.30103,0.8697190353901506,26454.0,317372.0,2383,2122
31,cutoff0.5,0.5,0.8594713394234178,23709.0,238136.0,2382,2074
31,cutoff1,1.0,0.8330991717214979,19667.0,157608.0,2381,1997
31,cutoff1.30103,1.30103,0.8198396588358468,17518.0,121800.0,2381,1949
31,cutoff2,2.0,0.7961830275805397,14656.0,83546.0,2377,1874
32,cutoff0.30103,0.30103,0.8665623975946374,25771.0,307756.0,2383,2121
32,cutoff0.5,0.5,0.8549196654372287,23039.0,232356.0,2379,2083
32,cutoff1,1.0,0.8291035586226049,19057.0,154242.0,2378,1995
32,cutoff1.30103,1.30103,0.8164746749653908,17107.0,120156.0,2378,1955
32,cutoff2,2.0,0.7937930947274132,14265.0,82315.0,2373,1889
33,cutoff0.30103,0.30103,0.8614625515779987,26739.0,309731.0,2376,2118
33,cutoff0.5,0.5,0.8512109432292202,23860.0,232483.0,2375,2086
33,cutoff1,1.0,0.8251169004082922,19770.0,153884.0,2374,1995
33,cutoff1.30103,1.30103,0.8115621115518448,17684.0,119183.0,2374,1940
33,cutoff2,2.0,0.7865495751707882,14844.0,81666.0,2368,1868
34,cutoff0.30103,0.30103,0.8649647571430119,26459.0,306641.0,2374,2133
34,cutoff0.5,0.5,0.8544330851815803,23708.0,231827.0,2374,2097
34,cutoff1,1.0,0.8281554955262395,19536.0,153289.0,2372,2006
34,cutoff1.30103,1.30103,0.8151721325390804,17418.0,118809.0,2372,1960
34,cutoff2,2.0,0.7897089365410906,14504.0,81490.0,2367,1893
35,cutoff0.30103,0.30103,0.8665913883201256,26919.0,316342.0,2377,2127
35,cutoff0.5,0.5,0.8566068578187445,24031.0,237822.0,2376,2084
35,cutoff1,1.0,0.8302447700129805,19852.0,157734.0,2374,2011
35,cutoff1.30103,1.30103,0.8177014803348085,17812.0,122452.0,2374,1963
35,cutoff2,2.0,0.7945793562997704,14889.0,84091.0,2372,1889
36,cutoff0.30103,0.30103,0.8608375834990791,26097.0,306522.0,2374,2123
36,cutoff0.5,0.5,0.8499748483614513,23506.0,232124.0,2372,2083
36,cutoff1,1.0,0.8234052741902098,19485.0,153390.0,2370,1999
36,cutoff1.30103,1.30103,0.8099614238867386,17463.0,118848.0,2370,1950
36,cutoff2,2.0,0.7865056102992861,14647.0,81817.0,2366,1889
37,cutoff0.30103,0.30103,0.8610956533885147,27155.0,311256.0,2380,2137
37,cutoff0.5,0.5,0.8493948201755842,24324.0,234985.0,2378,2099
37,cutoff1,1.0,0.8232975583970034,20234.0,156501.0,2376,2021
37,cutoff1.30103,1.30103,0.8089792070039807,18103.0,121760.0,2376,1979
37,cutoff2,2.0,0.7840968691834074,15069.0,83215.0,2371,1902
38,cutoff0.30103,0.30103,0.8670106389108401,26094.0,309085.0,2384,2102
38,cutoff0.5,0.5,0.8567017571168355,23317.0,232470.0,2384,2064
38,cutoff1,1.0,0.831099010241348,19257.0,153808.0,2383,1980
38,cutoff1.30103,1.30103,0.8173408310897848,17222.0,119077.0,2383,1933
38,cutoff2,2.0,0.7935102465281492,14353.0,81319.0,2379,1865
39,cutoff0.30103,0.30103,0.8695479226871417,26533.0,315790.0,2379,2132
39,cutoff0.5,0.5,0.8587198227789544,23616.0,237962.0,2377,2090
39,cutoff1,1.0,0.8331594054041224,19436.0,157422.0,2375,2008
39,cutoff1.30103,1.30103,0.8203404534321046,17352.0,121721.0,2375,1946
39,cutoff2,2.0,0.7950136729055218,14466.0,83220.0,2367,1869
40,cutoff0.30103,0.30103,0.8679851233986488,27234.0,317350.0,2390,2143
40,cutoff0.5,0.5,0.8564584962733358,24355.0,238424.0,2386,2104
40,cutoff1,1.0,0.8305783494564976,20102.0,158150.0,2386,2028
40,cutoff1.30103,1.30103,0.817097436726636,18020.0,122820.0,2386,1983
40,cutoff2,2.0,0.7931990698634434,15053.0,84019.0,2381,1912
41,cutoff0.30103,0.30103,0.8683978267163877,27237.0,309775.0,2387,2137
41,cutoff0.5,0.5,0.8574954265587494,24404.0,234576.0,2385,2098
41,cutoff1,1.0,0.830670515940926,20280.0,156106.0,2383,2019
41,cutoff1.30103,1.30103,0.816723859054155,18105.0,121043.0,2383,1980
41,cutoff2,2.0,0.7922745158448357,15154.0,83471.0,2378,1906
42,cutoff0.30103,0.30103,0.8620752230033549,26452.0,316213.0,2374,2149
42,cutoff0.5,0.5,0.8517172527042651,23668.0,237397.0,2374,2113
42,cutoff1,1.0,0.8256984005832363,19560.0,157255.0,2372,2008
42,cutoff1.30103,1.30103,0.8120367252893108,17447.0,121366.0,2372,1960
42,cutoff2,2.0,0.7880653924238403,14551.0,82905.0,2367,1884
43,cutoff0.30103,0.30103,0.8637235003785222,25952.0,309087.0,2377,2151
43,cutoff0.5,0.5,0.8538007382482193,23288.0,234598.0,2376,2119
43,cutoff1,1.0,0.8287163208606461,19243.0,155309.0,2374,2023
43,cutoff1.30103,1.30103,0.8151297659679635,17269.0,120411.0,2374,1987
43,cutoff2,2.0,0.7917769988234976,14393.0,82569.0,2368,1904
44,cutoff0.30103,0.30103,0.8643307270795991,26787.0,317903.0,2377,2134
44,cutoff0.5,0.5,0.8539340613740303,23781.0,237508.0,2375,2090
44,cutoff1,1.0,0.8277121153467089,19629.0,157723.0,2373,2013
44,cutoff1.30103,1.30103,0.8142445296555199,17522.0,122254.0,2373,1963
44,cutoff2,2.0,0.7910503420327157,14666.0,83681.0,2371,1885
45,cutoff0.30103,0.30103,0.8653491294657983,26706.0,308642.0,2375,2129
45,cutoff0.5,0.5,0.8550991546707756,23921.0,234153.0,2375,2097
45,cutoff1,1.0,0.8277714144600198,19694.0,153867.0,2374,2016
45,cutoff1.30103,1.30103,0.8138617441060317,17551.0,119037.0,2374,1969
45,cutoff2,2.0,0.7905248617441323,14602.0,81744.0,2370,1900
46,cutoff0.30103,0.30103,0.8668675923965843,26791.0,323300.0,2384,2147
46,cutoff0.5,0.5,0.855588232595275,23881.0,241005.0,2380,2104
46,cutoff1,1.0,0.828792772418271,19706.0,159557.0,2379,2021
46,cutoff1.30103,1.30103,0.8156855921800493,17565.0,123361.0,2379,1973
46,cutoff2,2.0,0.7906668958578487,14645.0,83995.0,2372,1904
47,cutoff0.30103,0.30103,0.8594274758584571,27494.0,316658.0,2375,2125
47,cutoff0.5,0.5,0.8483778722925094,24545.0,237250.0,2374,2089
47,cutoff1,1.0,0.8211155554473746,20197.0,156748.0,2372,2022
47,cutoff1.30103,1.30103,0.8070862178088158,18012.0,121229.0,2372,1981
47,cutoff2,2.0,0.7824439741962577,15047.0,82892.0,2368,1906
48,cutoff0.30103,0.30103,0.8685526971926457,26135.0,315161.0,2382,2124
48,cutoff0.5,0.5,0.8572921121783946,23262.0,236140.0,2380,2083
48,cutoff1,1.0,0.832020331064987,19196.0,156773.0,2378,2001
48,cutoff1.30103,1.30103,0.8184470744829966,17193.0,121719.0,2378,1951
48,cutoff2,2.0,0.794906283713809,14357.0,83458.0,2374,1874
49,cutoff0.30103,0.30103,0.8659613659862707,26732.0,314219.0,2381,2140
49,cutoff0.5,0.5,0.8540478360765783,23828.0,235599.0,2377,2102
49,cutoff1,1.0,0.8278271735523802,19656.0,155366.0,2375,2007
49,cutoff1.30103,1.30103,0.8146187335861702,17568.0,119990.0,2375,1963
49,cutoff2,2.0,0.7906984482610658,14580.0,81886.0,2370,1878
50,cutoff0.30103,0.30103,0.8642044629602132,26746.0,313961.0,2373,2115
50,cutoff0.5,0.5,0.8535396659492258,23912.0,235197.0,2372,2083
50,cutoff1,1.0,0.8266263638731938,19750.0,155654.0,2369,1984
50,cutoff1.30103,1.30103,0.8128864293168071,17692.0,120343.0,2369,1943
50,cutoff2,2.0,0.7877530494309993,14795.0,82664.0,2363,1872
51,cutoff0.30103,0.30103,0.8642323747809103,25844.0,306910.0,2371,2120
51,cutoff0.5,0.5,0.8538377636814652,23087.0,231173.0,2369,2072
51,cutoff1,1.0,0.8273195335303897,19021.0,152056.0,2368,1984
51,cutoff1.30103,1.30103,0.8138755596619254,17029.0,117919.0,2368,1933
51,cutoff2,2.0,0.7912037529320743,14115.0,80648.0,2366,1863
52,cutoff0.30103,0.30103,0.8620907652679244,26453.0,306962.0,2374,2126
52,cutoff0.5,0.5,0.8502982346713991,23611.0,230915.0,2371,2090
52,cutoff1,1.0,0.8236026008341888,19584.0,153410.0,2369,2005
52,cutoff1.30103,1.30103,0.8103167079183383,17553.0,119324.0,2369,1958
52,cutoff2,2.0,0.7854507447501268,14721.0,82046.0,2364,1895
53,cutoff0.30103,0.30103,0.8596161286259907,26475.0,307775.0,2371,2137
53,cutoff0.5,0.5,0.8484475866741792,23744.0,232003.0,2367,2099
53,cutoff1,1.0,0.8226081081241632,19677.0,154657.0,2366,2003
53,cutoff1.30103,1.30103,0.8096095334558907,17649.0,120228.0,2366,1952
53,cutoff2,2.0,0.786536561749003,14849.0,82676.0,2363,1879
54,cutoff0.30103,0.30103,0.8638402807505677,26571.0,313005.0,2378,2128
54,cutoff0.5,0.5,0.8529090237345679,23635.0,234551.0,2376,2093
54,cutoff1,1.0,0.8278048975252932,19551.0,155870.0,2375,2017
54,cutoff1.30103,1.30103,0.8141886063286748,17406.0,120667.0,2375,1966
54,cutoff2,2.0,0.790613776474861,14453.0,82457.0,2369,1893
55,cutoff0.30103,0.30103,0.86750114082597,26863.0,321213.0,2383,2116
55,cutoff0.5,0.5,0.8556797149057894,23918.0,239961.0,2379,2075
55,cutoff1,1.0,0.8300061615057597,19755.0,159632.0,2377,2000
55,cutoff1.30103,1.30103,0.8171788782664721,17656.0,123705.0,2377,1944
55,cutoff2,2.0,0.7929735625591925,14726.0,84441.0,2371,1881
56,cutoff0.30103,0.30103,0.8655263193983659,26395.0,311622.0,2377,2130
56,cutoff0.5,0.5,0.8542653183454553,23484.0,233655.0,2375,2085
56,cutoff1,1.0,0.8282643592473906,19418.0,155454.0,2374,1999
56,cutoff1.30103,1.30103,0.8146496888065772,17354.0,120279.0,2374,1948
56,cutoff2,2.0,0.7891505454992971,14405.0,82132.0,2365,1867
57,cutoff0.30103,0.30103,0.8666656302516715,26929.0,317458.0,2379,2122
57,cutoff0.5,0.5,0.8561268879936837,24141.0,239280.0,2378,2082
57,cutoff1,1.0,0.8288290603445042,19921.0,157872.0,2376,2012
57,cutoff1.30103,1.30103,0.8147450359143279,17809.0,122399.0,2376,1961
57,cutoff2,2.0,0.7910902689653677,14878.0,83378.0,2375,1899
58,cutoff0.30103,0.30103,0.8648502763156164,26771.0,308343.0,2383,2136
58,cutoff0.5,0.5,0.8536641010094453,23991.0,234337.0,2381,2097
58,cutoff1,1.0,0.8276318309620776,19825.0,154690.0,2379,2006
58,cutoff1.30103,1.30103,0.8140699784547555,17718.0,120180.0,2379,1959
58,cutoff2,2.0,0.7907739561947744,14818.0,82775.0,2374,1891
59,cutoff0.30103,0.30103,0.8719649447941591,26443.0,320652.0,2386,2125
59,cutoff0.5,0.5,0.8619736680145365,23585.0,240358.0,2385,2081
59,cutoff1,1.0,0.8364303427129152,19457.0,159461.0,2382,1977
59,cutoff1.30103,1.30103,0.8237953092485847,17346.0,123387.0,2382,1934
59,cutoff2,2.0,0.8008446637153189,14388.0,84423.0,2380,1857
60,cutoff0.30103,0.30103,0.8616077283714094,26623.0,310999.0,2374,2116
60,cutoff0.5,0.5,0.8506419378318629,23796.0,236054.0,2372,2087
60,cutoff1,1.0,0.8237718566850591,19651.0,155708.0,2370,2006
60,cutoff1.30103,1.30103,0.8106275781448323,17527.0,120103.0,2370,1971
60,cutoff2,2.0,0.7866111088609964,14630.0,82443.0,2366,1905
61,cutoff0.30103,0.30103,0.8653567895014195,26502.0,310651.0,2383,2137
61,cutoff0.5,0.5,0.8546757669998091,23842.0,233799.0,2383,2097
61,cutoff1,1.0,0.8279823822295788,19741.0,153898.0,2382,2017
61,cutoff1.30103,1.30103,0.8138894629472015,17690.0,119245.0,2382,1970
61,cutoff2,2.0,0.7907384157296559,14808.0,82079.0,2380,1893
62,cutoff0.30103,0.30103,0.8678927089495482,26167.0,305684.0,2381,2139
62,cutoff0.5,0.5,0.8570692156078283,23411.0,231211.0,2379,2096
62,cutoff1,1.0,0.8309842715860926,19310.0,152779.0,2378,2014
62,cutoff1.30103,1.30103,0.8180157170922858,17223.0,118414.0,2378,1959
62,cutoff2,2.0,0.7937413037899623,14301.0,80987.0,2373,1881
63,cutoff0.30103,0.30103,0.8621037923025681,26640.0,305043.0,2373,2129
63,cutoff0.5,0.5,0.8514796629957739,23814.0,231579.0,2372,2089
63,cutoff1,1.0,0.8237393050477771,19739.0,152963.0,2370,2011
63,cutoff1.30103,1.30103,0.809708698823353,17631.0,118793.0,2370,1964
63,cutoff2,2.0,0.7851601886266445,14665.0,81950.0,2364,1893
64,cutoff0.30103,0.30103,0.8674446928409312,26603.0,316366.0,2385,2134
64,cutoff0.5,0.5,0.8565042195462805,23803.0,236681.0,2383,2095
64,cutoff1,1.0,0.8294834625935747,19748.0,157392.0,2380,2005
64,cutoff1.30103,1.30103,0.8162115219879231,17684.0,121885.0,2380,1958
64,cutoff2,2.0,0.7913602115072531,14836.0,83327.0,2375,1873
65,cutoff0.30103,0.30103,0.8676884344955735,26776.0,323246.0,2382,2147
65,cutoff0.5,0.5,0.8569120117197875,23856.0,240609.0,2381,2111
65,cutoff1,1.0,0.829497862225634,19727.0,159515.0,2380,2031
65,cutoff1.30103,1.30103,0.8160163781678004,17613.0,123199.0,2380,1983
65,cutoff2,2.0,0.793369984471017,14587.0,83896.0,2376,1902
66,cutoff0.30103,0.30103,0.8611600220100208,26747.0,306852.0,2375,2142
66,cutoff0.5,0.5,0.8500958119901879,23950.0,232011.0,2373,2108
66,cutoff1,1.0,0.8230293019420326,19861.0,153229.0,2373,2017
66,cutoff1.30103,1.30103,0.8095044911770554,17776.0,119286.0,2373,1977
66,cutoff2,2.0,0.7843403030627603,14841.0,81980.0,2369,1904
67,cutoff0.30103,0.30103,0.8633267364243801,26028.0,308173.0,2375,2128
67,cutoff0.5,0.5,0.8536902806680338,23311.0,232683.0,2375,2091
67,cutoff1,1.0,0.8265683310609361,19292.0,154527.0,2373,2006
