repeat,alpha,yield_M_T,yield_N_T,choose_N,label_M,label_N
67,0.2,752,834,1,adapt_16.5512_to_14.0325_q0.6,top13828
68,0.05,336,375,1,adapt_37.7842_to_32.0342_q0.75,top4337
68,0.1,433,532,1,adapt_32.0342_to_27.1593_q0.75,top7261
68,0.2,753,783,1,adapt_19.5221_to_16.5512_q0.75,top12156
69,0.05,299,243,0,adapt_37.7842_to_32.0342_q0.6,top2277
69,0.1,424,457,1,adapt_32.0342_to_27.1593_q0.75,top4933
69,0.2,731,816,1,adapt_19.5221_to_16.5512_q0.75,top10687
70,0.05,306,287,0,adapt_37.7842_to_32.0342_q0.75,top2946
70,0.1,487,463,0,adapt_27.1593_to_23.0262_q0.75,top5612
70,0.2,765,789,1,adapt_16.5512_to_14.0325_q0.4,top12156
71,0.05,317,243,0,adapt_37.7842_to_32.0342_q0.75,top2946
71,0.1,389,405,1,adapt_32.0342_to_27.1593_q0.75,top5612
71,0.2,669,712,1,adapt_19.5221_to_16.5512_q0.75,top10687
72,0.05,369,364,0,adapt_37.7842_to_32.0342_q0.75,top3352
72,0.1,573,543,0,adapt_27.1593_to_23.0262_q0.75,top5612
72,0.2,762,865,1,adapt_19.5221_to_16.5512_q0.75,top12156
73,0.05,316,314,0,adapt_37.7842_to_32.0342_q0.75,top3813
73,0.1,507,476,0,adapt_27.1593_to_23.0262_q0.75,top6383
73,0.2,722,808,1,adapt_19.5221_to_16.5512_q0.75,top12156
74,0.05,351,319,0,adapt_37.7842_to_32.0342_q0.75,top3352
74,0.1,573,529,0,adapt_27.1593_to_23.0262_q0.75,top6383
74,0.2,892,847,0,adapt_16.5512_to_14.0325_q0.5,top12156
75,0.05,316,267,0,adapt_37.7842_to_32.0342_q0.75,top2590
75,0.1,505,479,0,adapt_27.1593_to_23.0262_q0.75,top5612
75,0.2,723,738,1,adapt_19.5221_to_16.5512_q0.75,top10687
76,0.05,328,241,0,adapt_37.7842_to_32.0342_q0.75,top3352
76,0.1,509,525,1,adapt_27.1593_to_23.0262_q0.6,top7261
76,0.2,839,778,0,adapt_16.5512_to_14.0325_q0.6,top12156
77,0.05,350,329,0,adapt_37.7842_to_32.0342_q0.75,top3352
77,0.1,498,570,1,adapt_27.1593_to_23.0262_q0.4,top7261
77,0.2,752,805,1,adapt_19.5221_to_16.5512_q0.75,top12156
78,0.05,322,351,1,adapt_37.7842_to_32.0342_q0.75,top3352
78,0.1,510,568,1,adapt_27.1593_to_23.0262_q0.75,top6383
78,0.2,827,891,1,adapt_16.5512_to_14.0325_q0.5,top12156
79,0.05,284,277,0,adapt_37.7842_to_32.0342_q0.75,top3352
79,0.1,464,445,0,adapt_27.1593_to_23.0262_q0.5,top6383
79,0.2,688,763,1,adapt_19.5221_to_16.5512_q0.75,top12156
80,0.05,291,241,0,adapt_37.7842_to_32.0342_q0.75,top2590
80,0.1,478,398,0,adapt_27.1593_to_23.0262_q0.75,top4933
80,0.2,658,733,1,adapt_19.5221_to_16.5512_q0.75,top10687
81,0.05,328,341,1,adapt_37.7842_to_32.0342_q0.75,top3352
81,0.1,506,540,1,adapt_27.1593_to_23.0262_q0.6,top6383
81,0.2,753,845,1,adapt_19.5221_to_16.5512_q0.75,top12156
82,0.05,360,342,0,adapt_37.7842_to_32.0342_q0.75,top3352
82,0.1,510,565,1,adapt_27.1593_to_23.0262_q0.5,top6383
82,0.2,788,876,1,adapt_19.5221_to_16.5512_q0.75,top12156
83,0.05,340,350,1,adapt_37.7842_to_32.0342_q0.75,top3352
83,0.1,552,622,1,adapt_27.1593_to_23.0262_q0.75,top7261
83,0.2,791,994,1,adapt_19.5221_to_16.5512_q0.75,top13828
84,0.05,320,334,1,adapt_37.7842_to_32.0342_q0.75,top3352
84,0.1,493,500,1,adapt_27.1593_to_23.0262_q0.75,top5612
84,0.2,810,743,0,adapt_16.5512_to_14.0325_q0.6,top10687
85,0.05,292,339,1,adapt_37.7842_to_32.0342_q0.75,top3813
85,0.1,475,589,1,adapt_27.1593_to_23.0262_q0.6,top7261
85,0.2,735,811,1,adapt_19.5221_to_16.5512_q0.75,top12156
86,0.05,380,319,0,adapt_32.0342_to_27.1593_q0.35,top2946
86,0.1,518,534,1,adapt_27.1593_to_23.0262_q0.75,top6383
86,0.2,736,823,1,adapt_19.5221_to_16.5512_q0.75,top12156
87,0.05,346,335,0,adapt_37.7842_to_32.0342_q0.75,top3813
87,0.1,553,574,1,adapt_27.1593_to_23.0262_q0.75,top7261
87,0.2,780,874,1,adapt_19.5221_to_16.5512_q0.75,top13828
88,0.05,321,307,0,adapt_37.7842_to_32.0342_q0.75,top3352
