repeat,alpha,K,yield_M_T,yield_N_T,choose_N,label_M,label_N
60,0.2,10,537,799,1,adapt_27.1593_to_23.0262_q0.75,top10925
61,0.05,10,157,266,1,adapt_62.0008_to_52.5656_q0.75,top3897
61,0.1,10,440,394,0,adapt_32.0342_to_27.1593_q0.6,top5736
61,0.2,10,720,678,0,adapt_23.0262_to_19.5221_q0.75,top10925
62,0.05,10,133,202,1,adapt_62.0008_to_52.5656_q0.5,top3012
62,0.1,10,297,397,1,adapt_37.7842_to_32.0342_q0.75,top5736
62,0.2,10,579,795,1,adapt_23.0262_to_19.5221_q0.3,top12426
63,0.05,10,219,192,0,adapt_52.5656_to_44.5662_q0.6,top2648
63,0.1,10,352,343,0,adapt_37.7842_to_32.0342_q0.75,top5043
63,0.2,10,696,822,1,adapt_23.0262_to_19.5221_q0.5,top12426
64,0.05,10,175,195,1,adapt_62.0008_to_52.5656_q0.75,top2046
64,0.1,10,345,451,1,adapt_37.7842_to_32.0342_q0.75,top5736
64,0.2,10,708,881,1,adapt_23.0262_to_19.5221_q0.6,top12426
65,0.05,10,200,227,1,adapt_62.0008_to_52.5656_q0.75,top3012
65,0.1,10,413,408,0,adapt_37.7842_to_32.0342_q0.75,top5736
65,0.2,10,790,909,1,adapt_23.0262_to_19.5221_q0.35,top14135
66,0.05,10,148,203,1,adapt_52.5656_to_44.5662_q0.75,top3012
66,0.1,10,337,368,1,adapt_32.0342_to_27.1593_q0.5,top5736
66,0.2,10,561,725,1,adapt_23.0262_to_19.5221_q0.5,top12426
67,0.05,10,154,242,1,adapt_62.0008_to_52.5656_q0.75,top3426
67,0.1,10,305,395,1,adapt_37.7842_to_32.0342_q0.75,top5736
67,0.2,10,680,901,1,adapt_23.0262_to_19.5221_q0.75,top14135
68,0.05,10,106,261,1,adapt_62.0008_to_52.5656_q0.75,top3426
68,0.1,10,333,397,1,adapt_32.0342_to_27.1593_q0.6,top5736
68,0.2,10,582,820,1,adapt_23.0262_to_19.5221_q0.6,top12426
69,0.05,10,244,266,1,adapt_52.5656_to_44.5662_q0.4,top3426
69,0.1,10,540,562,1,adapt_32.0342_to_27.1593_q0.75,top7422
69,0.2,10,852,988,1,adapt_23.0262_to_19.5221_q0.75,top14135
70,0.05,10,159,209,1,adapt_62.0008_to_52.5656_q0.75,top2648
70,0.1,10,328,396,1,adapt_37.7842_to_32.0342_q0.75,top5736
