repeat,rule,cutoff,fdp,correct,total,units,supp_units
21,cutoff0.30103,0.30103,0.8356512482267658,16015.0,143865.0,2979,2397
21,cutoff0.5,0.5,0.8206414474375924,14617.0,123341.0,2951,2317
21,cutoff1,1.0,0.7852919801727359,11886.0,82090.0,2905,2155
21,cutoff1.30103,1.30103,0.7684057345599251,10734.0,66388.0,2877,2081
21,cutoff2,2.0,0.724562324432294,9027.0,49167.0,2782,1938
22,cutoff0.30103,0.30103,0.8372317273143915,16158.0,143458.0,2973,2378
22,cutoff0.5,0.5,0.8232488971586606,14770.0,122667.0,2953,2315
22,cutoff1,1.0,0.791206755676307,11963.0,81603.0,2923,2155
22,cutoff1.30103,1.30103,0.7721005398470607,10770.0,66348.0,2889,2090
22,cutoff2,2.0,0.7267795612576569,9050.0,49349.0,2793,1945
23,cutoff0.30103,0.30103,0.831242638702771,15895.0,140768.0,2957,2373
23,cutoff0.5,0.5,0.8175824953936723,14562.0,120720.0,2935,2299
23,cutoff1,1.0,0.7863349797161207,11907.0,81103.0,2902,2137
23,cutoff1.30103,1.30103,0.7679425479777165,10800.0,66055.0,2874,2069
23,cutoff2,2.0,0.7255940997066526,9083.0,48989.0,2788,1922
24,cutoff0.30103,0.30103,0.8325976158797472,16091.0,141469.0,2975,2407
24,cutoff0.5,0.5,0.8198405008232453,14686.0,120978.0,2957,2331
24,cutoff1,1.0,0.785642628164937,12000.0,80778.0,2918,2164
24,cutoff1.30103,1.30103,0.7675043714657294,10895.0,65760.0,2889,2095
24,cutoff2,2.0,0.7223849468827132,9130.0,48800.0,2782,1946
25,cutoff0.30103,0.30103,0.832943006766033,15822.0,139320.0,2971,2386
25,cutoff0.5,0.5,0.8213105227830642,14499.0,119442.0,2956,2316
25,cutoff1,1.0,0.7874736689921771,11896.0,79531.0,2920,2139
25,cutoff1.30103,1.30103,0.7664826629956379,10797.0,64572.0,2885,2079
25,cutoff2,2.0,0.7186738702127367,9123.0,48105.0,2774,1936
26,cutoff0.30103,0.30103,0.8389083845276857,15491.0,139854.0,2978,2367
26,cutoff0.5,0.5,0.824243559315406,14193.0,119677.0,2955,2295
26,cutoff1,1.0,0.7940337870517725,11648.0,79615.0,2928,2125
26,cutoff1.30103,1.30103,0.7714959850097828,10577.0,64609.0,2890,2060
26,cutoff2,2.0,0.7263563425982127,8946.0,47972.0,2789,1920
27,cutoff0.30103,0.30103,0.8317586993877824,15598.0,140433.0,2962,2376
27,cutoff0.5,0.5,0.8174715859841979,14254.0,120354.0,2939,2297
27,cutoff1,1.0,0.787771079206066,11568.0,79950.0,2905,2115
27,cutoff1.30103,1.30103,0.7703445188324733,10501.0,64985.0,2877,2042
27,cutoff2,2.0,0.7235955017141378,8893.0,48446.0,2773,1896
28,cutoff0.30103,0.30103,0.8329960851920368,15934.0,139031.0,2974,2377
28,cutoff0.5,0.5,0.8172267150728949,14578.0,119333.0,2944,2297
28,cutoff1,1.0,0.7858851183201367,11880.0,79338.0,2914,2141
28,cutoff1.30103,1.30103,0.7682800818967288,10797.0,64796.0,2885,2070
28,cutoff2,2.0,0.716659369149151,9150.0,48130.0,2768,1930
29,cutoff0.30103,0.30103,0.8375073408510811,15473.0,140017.0,2982,2369
