repeat,alpha,delta,arm,label,fdp,pool_risk,correct,total,units,supp_units,frontier,frontier_all
3,0.05,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0443758494243146,0.0421963371015503,991,1400,500,432,870,875
3,0.05,0.5,goco-N,top4933,0.0465934003171482,0.0475893920933774,1152,1463,756,646,870,903
3,0.05,0.1,global-coarse,global_37.7842,0.0321983742339154,0.0320040708370092,771,1024,409,350,771,781
3,0.05,0.1,global-dense,global_33.8713,0.0515360155909428,0.0480900320059087,926,1312,527,429,926,931
3,0.05,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0443758494243146,0.0421963371015503,991,1400,500,432,870,875
3,0.05,0.1,goco-N,top4337,0.0402965451349942,0.0400578588078588,1035,1295,688,592,828,837
3,0.1,0.5,global-coarse,global_27.1593,0.0941835269379695,0.0909992357563447,1284,2061,747,571,1284,1284
3,0.1,0.5,global-dense,global_25.7999,0.1059786650255147,0.1007896329578793,1367,2236,801,602,1367,1375
3,0.1,0.5,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1040908274995512,0.0993251745621413,1544,2582,810,640,1332,1360
3,0.1,0.5,goco-N,top8259,0.0969171906894039,0.0962589782279571,1769,2474,1055,848,1288,1299
3,0.1,0.1,global-coarse,global_27.1593,0.0941835269379695,0.0909992357563447,1284,2061,747,571,1284,1284
3,0.1,0.1,global-dense,global_26.6395,0.102034900120522,0.095943738331179,1307,2130,780,584,1307,1310
3,0.1,0.1,goco-M,adapt_27.1593_to_23.0262_q0.6,0.1005482473010744,0.0951582514378723,1518,2513,796,631,1288,1299
3,0.1,0.1,goco-N,top7261,0.0819984673377241,0.0808100347280657,1582,2157,974,794,1176,1177
3,0.2,0.5,global-coarse,global_16.5512,0.2013530734209247,0.2003697102361471,2223,4348,1244,874,2223,2224
3,0.2,0.5,global-dense,global_16.5512,0.2013530734209247,0.2003697102361471,2223,4348,1244,874,2223,2224
3,0.2,0.5,goco-M,adapt_16.5512_to_14.0325_q0.3,0.2007098259844625,0.2001160213595586,2436,4812,1244,888,2198,2216
3,0.2,0.5,goco-N,top13828,0.1844469805011,0.181078964598999,2653,4147,1540,1154,2104,2124
3,0.2,0.1,global-coarse,global_19.5221,0.1561663368044628,0.1549364163889153,1888,3409,1063,772,1888,1888
3,0.2,0.1,global-dense,global_16.7443,0.1953055076318404,0.1932860356169274,2198,4260,1225,866,2198,2200
3,0.2,0.1,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1708038003999231,0.1699356300982755,2173,4162,1120,837,1993,2000
3,0.2,0.1,goco-N,top13828,0.1844469805011,0.181078964598999,2653,4147,1540,1154,2104,2124
4,0.05,0.5,global-coarse,global_37.7842,0.0302377105931225,0.0319483340514146,726,981,396,343,726,726
4,0.05,0.5,global-dense,global_33.8713,0.0475798138318332,0.0483229382518482,877,1264,494,412,877,880
4,0.05,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0434921917070543,0.0435712490511068,941,1365,475,415,828,849
4,0.05,0.5,goco-N,top4933,0.0450994168280113,0.0442946821716748,1168,1449,729,632,828,854
4,0.05,0.1,global-coarse,global_37.7842,0.0302377105931225,0.0319483340514146,726,981,396,343,726,726
