gene,community
ATP8B2,623
ATP8B3,60
ATP8B4,56
ATP9A,63
ATP9B,14
ATPAF1,14
ATPAF2,0
ATR,624
ATRAID,21
ATRIP,45
ATRN,14
ATRNL1,625
ATXN1,29
ATXN10,626
ATXN1L,14
ATXN2,10
ATXN2L,4
ATXN3,60
ATXN7,50
ATXN7L1,627
ATXN7L3,50
ATXN7L3B,30
AUH,55
AUNIP,45
AUP1,73
AURKA,14
AURKAIP1,55
AURKB,27
AURKC,628
AUTS2,21
AVEN,60
AVIL,10
AVL9,60
AVP,629
AVPI1,60
AVPR1A,630
AVPR1B,631
AXIN1,11
AXIN2,60
AXL,30
AZGP1,632
AZI2,633
AZIN1,11
AZIN2,60
AZU1,634
B2M,37
B3GALNT1,14
B3GALNT2,635
B3GALT1,636
B3GALT2,637
B3GALT4,14
B3GALT5,638
B3GALT6,30
B3GAT1,639
B3GAT2,640
B3GAT3,30
B3GNT2,30
B3GNT3,641
B3GNT4,642
B3GNT5,30
B3GNT6,643
B3GNT7,644
B3GNT8,645
B3GNT9,646
B3GNTL1,647
B4GALNT1,4
B4GALNT2,648
B4GALNT3,52
B4GALNT4,649
B4GALT1,650
B4GALT2,0
B4GALT3,30
B4GALT4,10
B4GALT5,30
B4GALT6,38
B4GALT7,30
B9D1,21
B9D2,651
BAALC,652
BAAT,653
BABAM1,654
BACE1,14
BACE2,14
BACH1,73
BACH2,655
BAD,14
BAG1,60
BAG2,73
BAG3,73
BAG4,656
BAG5,27
BAG6,55
BAHD1,70
BAIAP2,14
BAIAP2L1,73
BAIAP2L2,657
BAIAP3,60
BAK1,658
BAMBI,73
BANF1,27
BANF2,659
BANK1,660
BANP,661
BAP1,662
BARD1,45
BARHL1,663
BARHL2,664
BARX1,52
BARX2,14
BASP1,665
BATF,666
BATF2,667
BATF3,3
BAX,668
BAZ1A,14
BAZ1B,30
BAZ2A,60
BAZ2B,70
BBC3,669
BBIP1,670
BBOX1,671
BBS1,672
BBS10,673
BBS12,14
BBS2,47
BBS4,14
BBS5,674
BBS7,675
BBS9,60
BBX,676
BCAM,677
BCAP29,678
BCAR1,41
BCAR3,41
BCAS1,14
BCAS2,30
BCAS3,679
BCAS4,60
BCAT1,60
BCAT2,52
BCCIP,47
BCDIN3D,14
BCHE,680
BCKDHA,681
BCKDHB,682
BCKDK,60
BCL10,3
BCL11A,70
BCL11B,60
BCL2,70
BCL2A1,683
BCL2L1,684
BCL2L10,685
BCL2L11,60
BCL2L12,4
BCL2L13,14
BCL2L14,686
BCL2L15,687
BCL2L2,73
BCL3,14
BCL6,60
BCL6B,688
BCL7A,689
BCL7C,14
BCL9L,70
BCO1,73
BCO2,690
BCR,691
BCS1L,0
BDH1,692
BDH2,21
BDKRB1,693
BDKRB2,30
BDNF,41
BDP1,40
BEAN1,694
BECN1,52
BEGAIN,695
BEND3,696
BEND5,697
BEND6,698
BEND7,699
BEST1,10
BEST2,700
BEST3,701
BEST4,702
BET1,47
BET1L,65
BFAR,30
BFSP1,703
BFSP2,704
BGLAP,705
BHLHA15,706
BHLHE22,60
BHLHE41,4
BHMT,707
BHMT2,708
BICC1,709
BICD1,73
BICD2,14
BID,30
BIK,710
BIN1,711
BIN2,712
BIN3,713
BIRC2,3
BIRC3,3
BIRC5,27
BIRC6,73
BIRC7,714
BIRC8,715
BIVM,716
BLCAP,29
BLID,717
BLK,718
BLM,45
BLMH,719
BLNK,14
BLOC1S1,720
BLOC1S2,71
BLOC1S3,721
BLOC1S4,10
BLOC1S5,722
BLOC1S6,60
BLVRA,10
BLVRB,30
BLZF1,71
BMF,60
BMI1,70
BMP1,10
BMP10,723
BMP2,724
BMP2K,725
BMP3,726
BMP4,727
BMP5,728
BMP6,729
BMP7,730
BMP8A,731
BMP8B,30
BMPER,4
BMPR1A,4
BMPR1B,732
BMPR2,4
BMS1,47
BNC1,733
BNC2,734
BNIP1,30
BNIP2,60
BNIP3L,735
BNIPL,736
BOC,737
BOD1,29
BOD1L1,50
BOD1L2,738
BOK,29
BOLA1,21
BOLA2,739
BOLA3,0
BOLL,740
BOP1,47
BORA,741
BPGM,742
BPI,743
BPIFA1,744
BPIFA2,745
BPIFA3,47
BPIFB1,746
BPIFB2,747
BPIFB3,748
BPIFB4,749
BPIFB6,750
BPIFC,751
BPNT1,29
BPTF,30
BRAF,21
BRAP,71
BRAT1,30
BRCA1,45
BRCA2,45
BRD1,70
BRD2,50
BRD3,752
BRD4,50
BRD7,63
BRD8,50
BRD9,50
BRDT,753
BRF1,27
BRF2,27
BRI3,71
BRI3BP,754
BRICD5,10
BRINP1,755
BRINP2,756
BRINP3,757
BRIP1,45
BRIX1,73
BRK1,41
BRMS1,758
BRMS1L,759
BROX,760
BRPF1,70
BRPF3,14
BRSK1,14
BRSK2,761
BRWD1,60
BSCL2,762
BSDC1,60
BSG,11
BSN,763
BSND,764
BSPH1,765
BSPRY,766
BST1,767
BST2,18
BSX,768
BTAF1,50
BTBD1,54
BTBD10,769
BTBD11,770
BTBD17,771
BTBD18,772
BTBD2,773
BTBD3,14
BTBD6,73
BTBD7,47
BTBD8,774
BTBD9,5
BTC,775
BTD,776
BTF3,50
BTF3L4,60
BTG1,14
BTG2,73
BTG3,27
BTG4,777
BTLA,778
BTN1A1,779
BTN2A1,780
BTN2A2,781
BTN3A2,782
BTNL3,783
BTNL8,784
BTNL9,785
BTRC,60
BUB1,60
BUB1B,27
BUB3,27
BUD13,47
BUD31,27
BVES,786
BYSL,787
BZW1,60
BZW2,788
C10orf105,789
C10orf111,790
C10orf25,60
C10orf62,791
C10orf67,792
C10orf88,52
C10orf95,793
C11orf1,38
C11orf21,794
C11orf24,14
C11orf44,795
C11orf45,796
C11orf49,60
C11orf52,797
C11orf54,798
C11orf65,799
C11orf68,800
C11orf74,801
C11orf87,802
C12orf10,60
C12orf29,803
C12orf4,804
C12orf40,805
C12orf49,37
C12orf50,806
C12orf57,807
C12orf65,0
C12orf66,41
C12orf73,60
C14orf119,14
C14orf93,10
C15orf39,5
C15orf41,808
C15orf61,71
C15orf62,809
C16orf46,37
C16orf54,810
C16orf58,56
C16orf70,70
C16orf72,60
C16orf74,811
C16orf78,5
C16orf87,812
C16orf89,813
C16orf92,814
C17orf58,3
C17orf67,815
C17orf75,38
C17orf77,816
C17orf78,817
C17orf80,818
C17orf82,819
C17orf99,820
C18orf25,821
C18orf32,822
C19orf12,54
C19orf18,823
C19orf25,30
C19orf44,11
C19orf47,3
C19orf57,824
C19orf73,14
C1D,47
C1GALT1,5
C1QA,825
C1QB,826
C1QBP,0
C1QC,827
C1QL1,828
C1QL2,829
C1QL3,830
C1QL4,831
C1QTNF1,14
C1QTNF2,832
C1QTNF3,833
C1QTNF4,834
C1QTNF5,835
C1QTNF6,60
C1QTNF7,836
C1QTNF8,837
C1QTNF9,838
C1QTNF9B,27
C1RL,14
C1S,14
C1orf105,839
C1orf109,47
C1orf115,5
C1orf127,840
C1orf131,55
C1orf159,60
C1orf162,841
C1orf174,842
C1orf185,843
C1orf189,844
C1orf194,845
C1orf198,846
C1orf21,847
C1orf210,848
C1orf216,54
C1orf43,14
C1orf50,849
C1orf52,850
C1orf54,52
C1orf61,851
C2,852
C20orf141,853
C20orf194,854
C21orf33,71
C22orf23,71
C22orf24,855
C22orf39,73
C22orf46,56
C2CD2,856
C2CD2L,60
C2CD3,48
C2CD4A,857
C2CD4B,858
C2CD4C,859
C2CD5,41
C2orf15,860
C2orf16,861
C2orf42,60
C2orf49,60
C2orf50,862
C2orf66,863
C2orf69,60
C2orf83,864
C2orf88,865
C3,866
C3AR1,14
C3orf18,867
C3orf20,868
C3orf33,48
C3orf62,869
C3orf80,870
C4A,73
C4BPA,871
C4BPB,70
C4orf19,872
C4orf3,60
C4orf33,873
C4orf46,874
C4orf47,875
C4orf48,876
C5,877
C5AR1,878
C5AR2,60
C5orf22,879
C5orf24,14
C5orf30,880
C5orf38,881
C5orf46,882
C5orf51,883
C5orf60,884
