dataset,alpha,delta,group,unit_fdp,exceed,genes,terms,calls,term_fdp,genes_with_calls
HAP1,0.1,0.5,GoCo-dense-random1,0.0969,0.3,80.17,136.26,1152.38,0.8816,489.15
HAP1,0.1,0.5,GoCo-dense-source,0.0956,0.36,79.93,136.77,1284.13,0.8932,481.38
HAP1,0.1,0.5,GoCo-exp0,0.082,0.22,80.34,135.21,1024.95,0.8651,422.19
HAP1,0.1,0.5,GoCo-exp1,0.0972,0.38,79.26,135.05,1291.77,0.8953,488.35
HAP1,0.1,0.5,GoCo-oracle,0.0953,0.2,82.83,139.71,1314.49,0.8937,481.4
HAP1,0.1,0.5,GoCo-random,0.0972,0.3367,80.49,135.1233,1155.9767,0.883,490.74
HAP1,0.1,0.5,GoCo-score,0.096,0.24,81.38,137.92,1196.89,0.8846,485.39
HAP1,0.1,0.5,GoCo-source,0.0958,0.36,79.85,135.65,1281.82,0.894,482.21
HAP1,0.1,0.5,GoDag,0.0719,0.0,77.03,129.45,847.17,0.8473,377.44
HAP1,0.1,0.5,GoDag-cert60,0.0719,0.0,77.03,129.45,847.17,0.8473,377.44
HAP1,0.1,0.5,GoDag-dense,0.072,0.0,77.24,132.11,855.25,0.8456,377.44
HAP1,0.2,0.1,Boger,0.1353,0.0,95.25,160.15,1709.02,0.9063,670.21
HAP1,0.2,0.1,GoCo-dense-random1,0.1881,0.03,101.54,172.04,2475.55,0.9305,907.6
HAP1,0.2,0.1,GoCo-dense-source,0.1895,0.05,100.11,170.01,2772.42,0.9387,910.21
HAP1,0.2,0.1,GoCo-exp0,0.1612,0.08,105.19,177.28,2561.87,0.9281,785.13
HAP1,0.2,0.1,GoCo-exp1,0.1849,0.04,104.99,178.86,3261.19,0.9451,889.44
HAP1,0.2,0.1,GoCo-oracle,0.1847,0.04,113.42,191.13,3420.34,0.944,891.52
HAP1,0.2,0.1,GoCo-random,0.1899,0.11,105.76,177.6833,2818.4833,0.9369,915.66
HAP1,0.2,0.1,GoCo-score,0.1895,0.08,102.26,172.37,2504.38,0.9311,913.42
HAP1,0.2,0.1,GoCo-source,0.1835,0.03,106.08,180.16,3273.19,0.9449,882.95
HAP1,0.2,0.1,GoDag,0.1353,0.0,95.25,160.15,1709.02,0.9063,670.21
HAP1,0.2,0.1,GoDag-cert60,0.1353,0.0,95.25,160.15,1709.02,0.9063,670.21
