dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval,exceed
DRIVE,0,0.2,0.5,GoCo-exp0,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.5,GoCo-exp1,global_100,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.5,GoCo-dense-source,global_100.167,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,0,0.2,0.5,GoCo-dense-random1,global_100.167,0.0276377143382773,0.1882304846687089,0.3770283385663939,0.1795900458761488,161,718.0,7287.0,370,0.901468368327158,0.1825288514638769,537.0,0,0.0
DRIVE,1,0.05,0.1,Boger,global_475,0.0078041055186877,0.0429214098748698,0.1941453616305136,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.1,GoDag,global_475,0.0030141710651708,0.0420501120371567,0.1919777064584838,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.1,GoDag-dense,global_453.822,0.036267392782209,0.0446459889520347,0.1977250799415348,0.0430479865807753,39,81.0,275.0,109,0.7054545454545454,0.0442858292190086,73.0,0,0.0
DRIVE,1,0.05,0.1,GoDag-cert60,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.1,GoCo-source,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.1,GoCo-random1,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.1,GoCo-random2,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.1,GoCo-random3,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.1,GoCo-score,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.1,GoCo-oracle,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.1,GoCo-exp0,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.1,GoCo-exp1,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.1,GoCo-dense-source,global_464.5,0.0885397306753983,0.0456073408062009,0.1998149945630224,0.0417217266338257,37,79.0,270.0,105,0.7074074074074074,0.042959569272059,71.0,0,0.0
DRIVE,1,0.05,0.1,GoCo-dense-random1,global_464.5,0.0885397306753983,0.0456073408062009,0.1998149945630224,0.0417217266338257,37,79.0,270.0,105,0.7074074074074074,0.042959569272059,71.0,0,0.0
DRIVE,1,0.05,0.5,Boger,global_475,0.0078041055186877,0.0429214098748698,0.1941453616305136,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.5,GoDag,global_475,0.0030141710651708,0.0420501120371567,0.1919777064584838,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.5,GoDag-dense,global_453.388,0.1076383049472197,0.0462376215122894,0.2013509038582502,0.044108994538335,39,81.0,277.0,111,0.7075812274368231,0.0453468371765683,73.0,0,0.0
