dataset,repeat,n_calls_T,auc_score_T,auc_phat_T,auc_score_E,auc_phat_E
DRIVE,29,3298,0.5665449605649303,0.5190107987894351,0.6079494266817851,0.5503624380930061
DRIVE,30,2740,0.5762806555405916,0.6038486410802537,0.6055733419662528,0.6744746347599483
DRIVE,31,3276,0.567367395071236,0.5157497068295586,0.6083542337497364,0.5199296913029104
DRIVE,32,3080,0.581762504138206,0.5361712980791968,0.60533194563195,0.5162806565015278
DRIVE,33,3024,0.5751109853629998,0.4821871939135783,0.6066181606802543,0.571724980131972
DRIVE,34,2621,0.5776564925619431,0.45738753274904553,0.6057229014541025,0.45884868501213716
DRIVE,35,3241,0.5580137840017596,0.5610131485690544,0.6091061616784765,0.5965739304683512
DRIVE,36,2706,0.6065106049187136,0.5732910879718638,0.6026859485190637,0.586478711347525
DRIVE,37,2720,0.6587834346086371,0.515507403365642,0.5948101808733283,0.5893893674193998
DRIVE,38,3244,0.5744929122016907,0.5232680914945099,0.606519452444556,0.5449125721651317
DRIVE,39,3261,0.6778315020712488,0.6670784620125612,0.5939205885804422,0.5744959676357445
DRIVE,40,3040,0.5691374056102019,0.4257893344128249,0.6070410738615934,0.5522580310658908
DRIVE,41,2716,0.5974214607025065,0.5543018463923407,0.6034775994505238,0.5470206703565335
DRIVE,42,2696,0.5542143067062248,0.5143112544782803,0.6084850103518246,0.5672007274507215
DRIVE,43,2934,0.529045464339582,0.5213899662429075,0.6105909508785577,0.5589971646488093
DRIVE,44,2299,0.6073131888146247,0.5615390480063026,0.602836091529311,0.5017220279400878
DRIVE,45,2482,0.6461137345256562,0.6255570003345804,0.5986586218872529,0.4997040009672561
DRIVE,46,2989,0.6257001139168407,0.5533652933358648,0.6006506917600053,0.5272232473706763
DRIVE,47,2638,0.6343667214762035,0.6301109893121403,0.6003822402295711,0.5485201341387765
DRIVE,48,2751,0.6192196350955642,0.5269684316784436,0.601472945965963,0.45723793743146085
DRIVE,49,2982,0.6032100226260624,0.48027774890667346,0.6029434496864992,0.5587093823018094
DRIVE,50,3025,0.6246190293251377,0.6118004866180049,0.5999470202928333,0.557765825277224
DRIVE,51,2781,0.5842331768388106,0.6033950617283951,0.6049646462810326,0.5957479121355296
DRIVE,52,2771,0.61279955260465,0.4832631303395921,0.6020563396327957,0.4812610729235984
DRIVE,53,2845,0.6203381729777737,0.5458458464109106,0.6012775099725937,0.5641027368145569
DRIVE,54,2704,0.620299529788799,0.47756399732058424,0.6011101764037685,0.6216572043860847
