dataset,repeat,rule,label,fdp,correct,total,units,supp_units,fmax,prec,rec
Wainberg,30,Fmax-full,score>=601.638,0.2353004515171051,515.0,4760.0,1238,252,0.0020806778278878255,0.11725337214464937,0.0010496520264733605
Wainberg,30,Floor,score>=600.821,0.2353004515171051,515.0,4761.0,1238,252,,,
Wainberg,30,Top-1,top1,0.22921063739974673,152.0,1238.0,1238,152,,,
Wainberg,30,Top-3,top3,0.2318840579710145,346.0,2782.0,1238,223,,,
Wainberg,31,Fmax,score>=913.645,0.07294279336929321,282.0,1044.0,466,162,0.3230424750755728,0.2582257516864554,0.43130295771301885
Wainberg,31,Fmax-full,score>=601.638,0.22831466794013977,567.0,4953.0,1213,275,0.0019738477213055083,0.11345260904050547,0.000995584446369794
Wainberg,31,Floor,score>=600.821,0.22831466794013977,567.0,4955.0,1213,275,,,
Wainberg,31,Top-1,top1,0.21844660194174756,178.0,1213.0,1213,178,,,
Wainberg,31,Top-3,top3,0.22460250457295625,368.0,2735.0,1213,239,,,
Wainberg,32,Fmax,score>=913.645,0.07477302849292755,283.0,1087.0,470,166,0.32637557959875196,0.2636175029444559,0.4283508964701624
Wainberg,32,Fmax-full,score>=601.638,0.23936757445335388,560.0,5092.0,1263,277,0.0020195811348948404,0.11627211176162014,0.0010186371443646769
Wainberg,32,Floor,score>=600.821,0.23936757445335388,560.0,5092.0,1263,277,,,
Wainberg,32,Top-1,top1,0.2323765301815112,162.0,1263.0,1263,162,,,
Wainberg,32,Top-3,top3,0.2355072463768116,363.0,2840.0,1263,240,,,
Wainberg,33,Fmax,score>=913.645,0.07418036460876465,267.0,1020.0,468,151,0.3291614337202816,0.2623577477797022,0.4416070502173222
Wainberg,33,Fmax-full,score>=601.638,0.23209956288337708,548.0,4986.0,1235,269,0.002065416661889859,0.11290704939100478,0.001042241227288252
Wainberg,33,Floor,score>=600.821,0.23209956288337708,548.0,4988.0,1235,269,,,
Wainberg,33,Top-1,top1,0.2241452089489236,173.0,1235.0,1235,173,,,
Wainberg,33,Top-3,top3,0.22928099057267487,350.0,2750.0,1235,227,,,
Wainberg,34,Fmax,score>=911.135,0.07046695053577423,244.0,982.0,441,142,0.33303226424354293,0.26351088006305956,0.45238338622896357
Wainberg,34,Fmax-full,score>=601.638,0.2248992919921875,532.0,4850.0,1192,264,0.0021211561826641003,0.11428582435840211,0.0010705125001754662
Wainberg,34,Floor,score>=600.821,0.2248992919921875,532.0,4851.0,1192,264,,,
Wainberg,34,Top-1,top1,0.2169691853102575,164.0,1192.0,1192,164,,,
Wainberg,34,Top-3,top3,0.221577318137048,349.0,2637.0,1192,236,,,
Wainberg,35,Fmax,score>=911.135,0.0786987766623497,295.0,1138.0,494,168,0.3268400816935018,0.2634804626229187,0.430319872731275
Wainberg,35,Fmax-full,score>=601.638,0.23375217616558075,570.0,5058.0,1244,282,0.001983045496439847,0.11285351494470568,0.0010003114112942476
Wainberg,35,Floor,score>=600.821,0.23375217616558075,570.0,5058.0,1244,282,,,
Wainberg,35,Top-1,top1,0.2245673279864922,180.0,1244.0,1244,180,,,
Wainberg,35,Top-3,top3,0.22998452230195585,378.0,2774.0,1244,247,,,
Wainberg,36,Fmax,score>=911.135,0.06674186885356903,252.0,921.0,425,141,0.3288292389891077,0.2582027107342336,0.4526406271489477
Wainberg,36,Fmax-full,score>=601.638,0.21710307896137238,514.0,4681.0,1162,270,0.002042053011019888,0.11077509853260985,0.0010305249697190573
Wainberg,36,Floor,score>=600.821,0.21710307896137238,514.0,4681.0,1162,270,,,
Wainberg,36,Top-1,top1,0.21063739974672857,164.0,1162.0,1162,164,,,
Wainberg,36,Top-3,top3,0.2134867032503166,359.0,2614.0,1162,230,,,
Wainberg,37,Fmax,score>=911.135,0.07005307823419571,323.0,1121.0,464,180,0.31216716291851254,0.24578098776640186,0.4276865787379805
Wainberg,37,Fmax-full,score>=601.638,0.2301306426525116,619.0,5148.0,1230,289,0.0019991986954854507,0.11121095230922336,0.0010086655539833557
Wainberg,37,Floor,score>=600.821,0.2301306426525116,619.0,5149.0,1230,289,,,
Wainberg,37,Top-1,top1,0.21823554242296328,196.0,1230.0,1230,196,,,
Wainberg,37,Top-3,top3,0.22513015336991699,396.0,2738.0,1230,256,,,
Wainberg,38,Fmax,score>=911.135,0.06571254134178162,257.0,951.0,428,149,0.32127968913302457,0.25175769618981114,0.4438462547553456
Wainberg,38,Fmax-full,score>=601.638,0.2273440808057785,528.0,4635.0,1217,271,0.002085629912065908,0.11064204814271157,0.001052737133414193
Wainberg,38,Floor,score>=600.821,0.2273440808057785,528.0,4636.0,1217,271,,,
Wainberg,38,Top-1,top1,0.22203461376108063,165.0,1217.0,1217,165,,,
Wainberg,38,Top-3,top3,0.22467285774588433,355.0,2705.0,1217,240,,,
Wainberg,39,Fmax,score>=929,0.07599461823701859,300.0,1075.0,493,176,0.31578393214321265,0.2523671064349135,0.42176956237989083
Wainberg,39,Fmax-full,score>=601.638,0.22680048644542694,585.0,5052.0,1216,292,0.0019826425976345683,0.1100604717548077,0.0010003313434850962
Wainberg,39,Floor,score>=600.821,0.22680048644542694,585.0,5052.0,1216,292,,,
Wainberg,39,Top-1,top1,0.2176023638666104,185.0,1216.0,1216,185,,,
Wainberg,39,Top-3,top3,0.2224919093851133,394.0,2761.0,1216,253,,,
Wainberg,40,Fmax,score>=913.645,0.06708874553442001,288.0,973.0,447,165,0.3128224845906231,0.2456051864412292,0.4306952976829709
Wainberg,40,Fmax-full,score>=601.638,0.22882094979286194,560.0,4890.0,1226,282,0.0019551211158285987,0.11029358015789957,0.0009863024115592325
Wainberg,40,Floor,score>=600.821,0.22882094979286194,560.0,4891.0,1226,282,,,
Wainberg,40,Top-1,top1,0.22140143520472774,177.0,1226.0,1226,177,,,
Wainberg,40,Top-3,top3,0.22502462361052486,388.0,2754.0,1226,247,,,
Wainberg,41,Fmax,score>=1076.8,0.03963865712285042,191.0,519.0,287,120,0.32454328981182484,0.3696108910345262,0.28927165687729084
Wainberg,41,Fmax-full,score>=601.638,0.23494593799114227,581.0,5024.0,1256,292,0.0020431507920599993,0.11110827888630202,0.0010310553446222115
Wainberg,41,Floor,score>=600.821,0.23494593799114227,581.0,5025.0,1256,292,,,
Wainberg,41,Top-1,top1,0.22857745884339384,173.0,1256.0,1256,173,,,
Wainberg,41,Top-3,top3,0.2311101730688054,387.0,2815.0,1256,253,,,
Wainberg,42,Fmax,score>=1076.8,0.038841817528009415,198.0,517.0,281,118,0.3243054665555975,0.36962191060709115,0.2888872643919229
Wainberg,42,Fmax-full,score>=601.638,0.2299492210149765,581.0,4839.0,1231,287,0.0019434332953202592,0.11060469755683296,0.0009803293227466723
Wainberg,42,Floor,score>=600.821,0.2299492210149765,581.0,4839.0,1231,287,,,
Wainberg,42,Top-1,top1,0.22140143520472774,182.0,1231.0,1231,182,,,
Wainberg,42,Top-3,top3,0.22622062755030256,390.0,2774.0,1231,250,,,
Wainberg,43,Fmax,score>=911.135,0.07187572121620178,268.0,989.0,457,152,0.32702608722143933,0.2587495290110962,0.4442512010347377
Wainberg,43,Fmax-full,score>=601.638,0.23584920167922974,539.0,4998.0,1256,275,0.002017647667830696,0.11260513460440168,0.0010179435397626923
Wainberg,43,Floor,score>=600.821,0.23584920167922974,539.0,4998.0,1256,275,,,
Wainberg,43,Top-1,top1,0.22541156606162938,188.0,1256.0,1256,188,,,
Wainberg,43,Top-3,top3,0.2323765301815112,374.0,2816.0,1256,246,,,
Wainberg,44,Fmax,score>=1076.8,0.04079344868659973,161.0,513.0,283,109,0.3390467812555324,0.3824200996985802,0.304509882881976
Wainberg,44,Fmax-full,score>=601.638,0.2410946935415268,551.0,5045.0,1277,286,0.002006016524412357,0.11479607461790874,0.0010118490958902727
Wainberg,44,Floor,score>=600.821,0.2410946935415268,551.0,5046.0,1277,286,,,
Wainberg,44,Top-1,top1,0.23448712536935415,166.0,1277.0,1277,166,,,
Wainberg,44,Top-3,top3,0.23803996060222318,359.0,2816.0,1277,247,,,
Wainberg,45,Fmax,score>=911.135,0.07011178135871887,267.0,1018.0,448,153,0.32823077445482945,0.2571909229327923,0.45349175364512795
Wainberg,45,Fmax-full,score>=601.638,0.22767488658428192,557.0,4832.0,1222,279,0.0020210352328922715,0.10964673619512616,0.0010199172979382563
Wainberg,45,Floor,score>=600.821,0.22767488658428192,557.0,4834.0,1222,279,,,
Wainberg,45,Top-1,top1,0.21950189953566906,182.0,1222.0,1222,182,,,
Wainberg,45,Top-3,top3,0.22411003236245958,380.0,2697.0,1222,244,,,
Wainberg,46,Fmax,score>=1076.8,0.03739924356341362,176.0,474.0,277,118,0.3215266468239911,0.36277523949032736,0.28870055927509347
Wainberg,46,Fmax-full,score>=601.638,0.2311880886554718,560.0,5078.0,1242,287,0.0020595513616654846,0.10924256242114079,0.0010395752432022006
Wainberg,46,Floor,score>=600.821,0.2311880886554718,560.0,5079.0,1242,287,,,
Wainberg,46,Top-1,top1,0.2249894470240608,176.0,1242.0,1242,176,,,
Wainberg,46,Top-3,top3,0.2277683973547207,381.0,2795.0,1242,251,,,
Wainberg,47,Fmax,score>=929,0.07114963233470917,271.0,992.0,456,155,0.32480214228578314,0.256766032281323,0.44189154716468804
Wainberg,47,Fmax-full,score>=601.638,0.22756518423557281,562.0,4811.0,1218,272,0.002051127351453373,0.11069672610539999,0.0010351539894396875
Wainberg,47,Floor,score>=600.821,0.22756518423557281,562.0,4811.0,1218,272,,,
Wainberg,47,Top-1,top1,0.21950189953566906,178.0,1218.0,1218,178,,,
Wainberg,47,Top-3,top3,0.22428591529477981,376.0,2721.0,1218,237,,,
Wainberg,48,Fmax,score>=911.135,0.0654626116156578,268.0,1004.0,418,147,0.3288794825440119,0.25742175424699304,0.4552532829930091
Wainberg,48,Fmax-full,score>=601.638,0.22380898892879486,554.0,4790.0,1202,274,0.0020153655045642305,0.10947193757308295,0.001017044587947925
Wainberg,48,Floor,score>=600.821,0.22380898892879486,554.0,4790.0,1202,274,,,
Wainberg,48,Top-1,top1,0.21844660194174756,167.0,1202.0,1202,167,,,
