dataset,repeat,alpha,delta,arm,label,fdp,pool_risk,correct,total,units,supp_units
Wainberg,14,0.2,0.1,goco-N,top11197,0.1907466487009543,0.1914299991713688,379,3391,1014,204
Wainberg,15,0.05,0.5,goco-N,top2097,0.04699896510787182,0.048172832365586504,178,639,301,102
Wainberg,15,0.05,0.1,goco-N,top1844,0.04299985929365414,0.04399719013155524,164,568,278,95
Wainberg,15,0.1,0.5,goco-N,top3994,0.08905089739302488,0.09065814759934476,242,1254,513,135
Wainberg,15,0.1,0.1,goco-N,top3994,0.08905089739302488,0.09065814759934476,242,1254,513,135
Wainberg,15,0.2,0.5,goco-N,top11197,0.19003154648089604,0.1886695785756751,402,3335,1012,203
Wainberg,15,0.2,0.1,goco-N,top11197,0.19003154648089604,0.1886695785756751,402,3335,1012,203
Wainberg,16,0.05,0.5,goco-N,top1621,0.03782186576614606,0.040479495296589924,118,451,241,79
Wainberg,16,0.05,0.1,goco-N,top1621,0.03782186576614606,0.040479495296589924,118,451,241,79
Wainberg,16,0.1,0.5,goco-N,top3087,0.09653510623329112,0.09783716576541057,155,927,537,107
Wainberg,16,0.1,0.1,goco-N,top2714,0.08514140987758549,0.08705194559221995,143,809,479,98
Wainberg,16,0.2,0.5,goco-N,top8653,0.1907253503496644,0.1929432881965418,281,2643,1012,183
Wainberg,16,0.2,0.1,goco-N,top8653,0.1907253503496644,0.1929432881965418,281,2643,1012,183
Wainberg,17,0.05,0.5,goco-N,top1844,0.04903925280666522,0.046619784386849,161,586,296,83
Wainberg,17,0.05,0.1,goco-N,top1844,0.04903925280666522,0.046619784386849,161,586,296,83
Wainberg,17,0.1,0.5,goco-N,top3512,0.0901012019732999,0.08673537359210387,208,1164,509,116
Wainberg,17,0.1,0.1,goco-N,top3512,0.0901012019732999,0.08673537359210387,208,1164,509,116
Wainberg,17,0.2,0.5,goco-N,top11197,0.20100876462202075,0.19401469257354348,403,3570,1064,213
Wainberg,17,0.2,0.1,goco-N,top11197,0.20100876462202075,0.19401469257354348,403,3570,1064,213
Wainberg,18,0.05,0.5,goco-N,top1844,0.04609577960147821,0.04706944050595123,184,602,296,101
Wainberg,18,0.05,0.1,goco-N,top1621,0.04286638622856436,0.04228620287361054,167,519,276,93
Wainberg,18,0.1,0.5,goco-N,top3512,0.09957032386358486,0.09910712945897403,224,1153,558,125
Wainberg,18,0.1,0.1,goco-N,top3087,0.08332753506380998,0.08485477474759714,219,1010,482,122
Wainberg,18,0.2,0.5,goco-N,top9843,0.19150863558841608,0.19038190394778295,404,3068,1024,209
Wainberg,18,0.2,0.1,goco-N,top9843,0.19150863558841608,0.19038190394778295,404,3068,1024,209
Wainberg,19,0.05,0.5,goco-N,top1844,0.048420403760209584,0.045947900440513875,173,607,311,108
Wainberg,19,0.05,0.1,goco-N,top1844,0.048420403760209584,0.045947900440513875,173,607,311,108
Wainberg,19,0.1,0.5,goco-N,top3512,0.10116015732309527,0.09973683622821856,235,1130,591,151
Wainberg,19,0.1,0.1,goco-N,top3087,0.0895811976120123,0.08879774327364899,219,1003,528,140
Wainberg,19,0.2,0.5,goco-N,top9843,0.19477636271378357,0.19320265403674602,384,3108,1044,215
Wainberg,19,0.2,0.1,goco-N,top9843,0.19477636271378357,0.19320265403674602,384,3108,1044,215
Wainberg,20,0.05,0.5,goco-N,top1844,0.04360295325892625,0.04688342366587178,204,579,295,108
Wainberg,20,0.05,0.1,goco-N,top1621,0.03796086658053733,0.040518459049060526,181,499,257,93
Wainberg,20,0.1,0.5,goco-N,top3512,0.09270271553407898,0.09636217897473615,257,1109,545,138
Wainberg,20,0.1,0.1,goco-N,top3087,0.07784814559297464,0.08262760952261479,250,964,474,134
Wainberg,20,0.2,0.5,goco-N,top11197,0.19841065797401472,0.19888329726493825,409,3344,1065,216
Wainberg,20,0.2,0.1,goco-N,top9843,0.18146758813034836,0.18455185049615072,391,2971,981,201
Wainberg,21,0.05,0.5,goco-N,top1844,0.05083670023518061,0.047718892863106724,136,600,311,88
Wainberg,21,0.05,0.1,goco-N,top1844,0.05083670023518061,0.047718892863106724,136,600,311,88
Wainberg,21,0.1,0.5,goco-N,top3994,0.1008726306056403,0.09929181773008718,200,1196,567,125
Wainberg,21,0.1,0.1,goco-N,top3512,0.09088072122052704,0.089403174501662,182,1064,516,117
Wainberg,21,0.2,0.5,goco-N,top11197,0.19295056253005746,0.1940438312239864,400,3305,1031,211
Wainberg,21,0.2,0.1,goco-N,top11197,0.19295056253005746,0.1940438312239864,400,3305,1031,211
Wainberg,22,0.05,0.5,goco-N,top1844,0.052416151809355695,0.04691508065936487,187,640,342,110
Wainberg,22,0.05,0.1,goco-N,top1844,0.052416151809355695,0.04691508065936487,187,640,342,110
