dataset,repeat,alpha,K,yield_M_T,yield_N_T,choose_N
Wainberg,86,0.2,10,191,149,0
Wainberg,87,0.05,10,68,53,0
Wainberg,87,0.1,10,125,65,0
Wainberg,87,0.2,10,180,118,0
Wainberg,88,0.05,10,63,45,0
Wainberg,88,0.1,10,98,51,0
Wainberg,88,0.2,10,171,102,0
Wainberg,89,0.05,10,74,64,0
Wainberg,89,0.1,10,148,76,0
Wainberg,89,0.2,10,201,175,0
Wainberg,90,0.05,10,54,45,0
Wainberg,90,0.1,10,92,81,0
Wainberg,90,0.2,10,142,122,0
Wainberg,91,0.05,10,55,56,1
Wainberg,91,0.1,10,114,65,0
Wainberg,91,0.2,10,161,134,0
Wainberg,92,0.05,10,65,63,0
Wainberg,92,0.1,10,116,71,0
Wainberg,92,0.2,10,187,113,0
Wainberg,93,0.05,10,63,49,0
Wainberg,93,0.1,10,99,55,0
Wainberg,93,0.2,10,177,119,0
Wainberg,94,0.05,10,65,33,0
Wainberg,94,0.1,10,117,56,0
Wainberg,94,0.2,10,169,140,0
Wainberg,95,0.05,10,64,83,1
Wainberg,95,0.1,10,122,104,0
Wainberg,95,0.2,10,181,160,0
Wainberg,96,0.05,10,58,33,0
Wainberg,96,0.1,10,92,65,0
Wainberg,96,0.2,10,140,110,0
Wainberg,97,0.05,10,56,63,1
Wainberg,97,0.1,10,119,95,0
Wainberg,97,0.2,10,175,159,0
Wainberg,98,0.05,10,52,37,0
Wainberg,98,0.1,10,92,44,0
Wainberg,98,0.2,10,150,112,0
Wainberg,99,0.05,10,106,116,1
Wainberg,99,0.1,10,150,133,0
Wainberg,99,0.2,10,252,200,0
Sanger,0,0.05,10,81,177,1
Sanger,0,0.1,10,139,252,1
Sanger,0,0.2,10,670,641,0
Sanger,1,0.05,10,68,104,1
Sanger,1,0.1,10,110,188,1
Sanger,1,0.2,10,497,483,0
Sanger,2,0.05,10,97,119,1
Sanger,2,0.1,10,119,227,1
Sanger,2,0.2,10,607,550,0
Sanger,3,0.05,10,101,162,1
Sanger,3,0.1,10,133,237,1
Sanger,3,0.2,10,468,508,1
Sanger,4,0.05,10,78,69,0
Sanger,4,0.1,10,119,163,1
Sanger,4,0.2,10,491,551,1
Sanger,5,0.05,10,71,123,1
Sanger,5,0.1,10,126,205,1
Sanger,5,0.2,10,498,572,1
Sanger,6,0.05,10,60,57,0
Sanger,6,0.1,10,94,118,1
Sanger,6,0.2,10,430,453,1
Sanger,7,0.05,10,72,112,1
Sanger,7,0.1,10,139,185,1
Sanger,7,0.2,10,431,484,1
Sanger,8,0.05,10,62,112,1
Sanger,8,0.1,10,131,191,1
Sanger,8,0.2,10,546,496,0
Sanger,9,0.05,10,103,157,1
Sanger,9,0.1,10,158,274,1
Sanger,9,0.2,10,468,584,1
Sanger,10,0.05,10,85,92,1
Sanger,10,0.1,10,143,169,1
Sanger,10,0.2,10,532,478,0
Sanger,11,0.05,10,69,72,1
Sanger,11,0.1,10,118,128,1
Sanger,11,0.2,10,442,415,0
Sanger,12,0.05,10,104,124,1
Sanger,12,0.1,10,161,222,1
Sanger,12,0.2,10,522,586,1
Sanger,13,0.05,10,74,92,1
Sanger,13,0.1,10,144,138,0
Sanger,13,0.2,10,506,448,0
Sanger,14,0.05,10,110,230,1
Sanger,14,0.1,10,221,306,1
Sanger,14,0.2,10,629,631,1
Sanger,15,0.05,10,74,117,1
Sanger,15,0.1,10,133,173,1
Sanger,15,0.2,10,413,432,1
Sanger,16,0.05,10,64,137,1
Sanger,16,0.1,10,92,234,1
Sanger,16,0.2,10,450,515,1
Sanger,17,0.05,10,84,113,1
Sanger,17,0.1,10,134,203,1
Sanger,17,0.2,10,565,542,0
Sanger,18,0.05,10,61,107,1
Sanger,18,0.1,10,120,136,1
Sanger,18,0.2,10,426,486,1
Sanger,19,0.05,10,101,154,1
Sanger,19,0.1,10,131,225,1
Sanger,19,0.2,10,457,468,1
Sanger,20,0.05,10,74,74,0
Sanger,20,0.1,10,116,138,1
Sanger,20,0.2,10,392,424,1
Sanger,21,0.05,10,48,52,1
Sanger,21,0.1,10,99,99,0
Sanger,21,0.2,10,383,466,1
Sanger,22,0.05,10,79,171,1
Sanger,22,0.1,10,133,232,1
Sanger,22,0.2,10,550,527,0
Sanger,23,0.05,10,75,123,1
Sanger,23,0.1,10,125,199,1
Sanger,23,0.2,10,448,502,1
Sanger,24,0.05,10,86,75,0
Sanger,24,0.1,10,134,127,0
Sanger,24,0.2,10,543,446,0
Sanger,25,0.05,10,76,61,0
Sanger,25,0.1,10,120,126,1
Sanger,25,0.2,10,421,464,1
Sanger,26,0.05,10,79,78,0
Sanger,26,0.1,10,123,152,1
Sanger,26,0.2,10,473,532,1
Sanger,27,0.05,10,63,98,1
Sanger,27,0.1,10,96,182,1
Sanger,27,0.2,10,412,481,1
Sanger,28,0.05,10,81,125,1
Sanger,28,0.1,10,136,209,1
Sanger,28,0.2,10,507,474,0
