repeat,alpha,arm,label,fdp,correct,total,units
8,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.18695737757127096,2045,4067,1153
8,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.19094945621601517,2044,3984,1176
8,0.2,goco-rank,top13828,0.17716341816503367,2554,3914,1483
9,0.05,global-coarse,global_37.7842,0.03168551427032849,696,953,402
9,0.05,global-dense,global_33.8713,0.04787663153575917,834,1209,508
9,0.05,goco-score,adapt_37.7842_to_32.0342_q0.6,0.047950483370515676,871,1274,511
9,0.05,goco,adapt_37.7842_to_32.0342_q0.6,0.04603956714619073,920,1313,516
9,0.05,goco-rank,top4337,0.045200533730895796,991,1335,733
9,0.1,global-coarse,global_27.1593,0.09248865297330565,1223,1991,742
9,0.1,global-dense,global_26.6395,0.09844449573044081,1239,2043,770
9,0.1,goco-score,adapt_27.1593_to_23.0262_q0.2,0.09852168115496064,1280,2119,776
9,0.1,goco,adapt_27.1593_to_23.0262_q0.3,0.09526643075108343,1335,2162,786
9,0.1,goco-rank,top7261,0.07978948982608945,1535,2200,993
9,0.2,global-coarse,global_19.5221,0.1540100170875615,1789,3266,1044
9,0.2,global-dense,global_17.0145,0.18182833680410418,2059,3983,1158
9,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.1806128586904031,2061,4016,1151
9,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.18578959722740013,2070,3976,1172
9,0.2,goco-rank,top13828,0.18608748331744265,2576,4184,1538
10,0.05,global-coarse,global_37.7842,0.02952714311357284,764,1030,416
10,0.05,global-dense,global_34.418,0.045246429212503526,903,1287,510
10,0.05,goco-score,adapt_37.7842_to_32.0342_q0.6,0.04411518834782163,941,1345,505
10,0.05,goco,adapt_37.7842_to_32.0342_q0.6,0.04248352437366977,967,1361,515
10,0.05,goco-rank,top4337,0.0420032310177706,1044,1310,785
10,0.1,global-coarse,global_27.1593,0.08982152473267174,1288,2056,738
10,0.1,global-dense,global_26.6395,0.09575582737133626,1301,2103,761
10,0.1,goco-score,adapt_27.1593_to_23.0262_q0.15,0.09588558094212375,1337,2168,768
10,0.1,goco,adapt_27.1593_to_23.0262_q0.3,0.09288868374490346,1395,2206,787
10,0.1,goco-rank,top8259,0.09653829329254587,1780,2481,1138
10,0.2,global-coarse,global_19.5221,0.15226221364347373,1875,3308,1065
10,0.2,global-dense,global_17.0145,0.18702189929976684,2141,4029,1200
10,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.18310792420647026,2132,4016,1179
10,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.18534442491631506,2143,3978,1200
10,0.2,goco-rank,top13828,0.17817040937881004,2671,4145,1578
11,0.05,global-coarse,global_37.7842,0.026198169089929998,731,980,392
11,0.05,global-dense,global_34.9736,0.0329025309639203,829,1137,455
11,0.05,goco-score,adapt_37.7842_to_32.0342_q0.5,0.03619932302484807,889,1235,469
11,0.05,goco,adapt_37.7842_to_32.0342_q0.6,0.03492884068005231,928,1264,480
11,0.05,goco-rank,top3813,0.040037695207323636,879,1081,698
11,0.1,global-coarse,global_27.1593,0.09061991948098572,1236,1977,730
11,0.1,global-dense,global_26.6395,0.09582724312126574,1252,2030,750
11,0.1,goco-score,adapt_27.1593_to_23.0262_q0.15,0.09545977895735568,1290,2092,757
11,0.1,goco,adapt_27.1593_to_23.0262_q0.275,0.09375580172833807,1358,2140,775
11,0.1,goco-rank,top7261,0.0812574044157243,1548,2088,998
11,0.2,global-coarse,global_19.5221,0.15940075810027346,1840,3311,1058
11,0.2,global-dense,global_16.7443,0.19907260752171899,2139,4091,1217
11,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.1883154513768407,2110,4015,1173
11,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.19624123587774636,2123,4017,1205
11,0.2,goco-rank,top13828,0.17245986287989518,2611,4030,1479
12,0.05,global-coarse,global_37.7842,0.03288637587506731,746,1038,421
12,0.05,global-dense,global_34.418,0.047521604225966095,896,1295,527
12,0.05,goco-score,adapt_37.7842_to_32.0342_q0.5,0.043250762879195825,917,1314,504
12,0.05,goco,adapt_37.7842_to_32.0342_q0.75,0.045954047747262604,982,1408,533
12,0.05,goco-rank,top4337,0.041996820268225765,1028,1332,689
12,0.1,global-coarse,global_27.1593,0.08853001512936892,1309,2075,758
12,0.1,global-dense,global_27.0694,0.0899532015283227,1314,2088,764
12,0.1,goco-score,adapt_27.1593_to_23.0262_q0.075,0.09120098981972971,1326,2106,769
12,0.1,goco,adapt_27.1593_to_23.0262_q0.275,0.09034733441033924,1416,2229,793
12,0.1,goco-rank,top7261,0.081954649192129,1568,2167,1015
12,0.2,global-coarse,global_19.5221,0.15262376826189428,1937,3417,1081
12,0.2,global-dense,global_16.7443,0.19219621609767007,2251,4258,1233
12,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.1829675018931885,2204,4164,1195
12,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.18466175809471447,2234,4148,1202
12,0.2,goco-rank,top13828,0.1938007890511929,2597,4182,1602
13,0.05,global-coarse,global_37.7842,0.031237274662153498,722,996,409
13,0.05,global-dense,global_33.8713,0.04635689924866014,890,1265,525
13,0.05,goco-score,adapt_37.7842_to_32.0342_q0.6,0.04240428750929559,891,1266,504
13,0.05,goco,adapt_37.7842_to_32.0342_q0.6,0.03613919019411749,908,1251,487
13,0.05,goco-rank,top4337,0.04288945303484883,959,1243,713
13,0.1,global-coarse,global_27.1593,0.09232069133523092,1259,2009,757
13,0.1,global-dense,global_26.6395,0.09862656101751417,1282,2076,785
13,0.1,goco-score,adapt_27.1593_to_23.0262_q0.25,0.09929943328974024,1342,2183,795
13,0.1,goco,adapt_27.1593_to_23.0262_q0.4,0.09789906915916609,1410,2240,823
13,0.1,goco-rank,top8259,0.08957285758578167,1721,2406,1075
13,0.2,global-coarse,global_19.5221,0.15365708784125587,1913,3382,1073
13,0.2,global-dense,global_17.0145,0.1841249273074798,2182,4106,1192
13,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.1810784404968573,2183,4125,1181
13,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.1788394570785524,2191,4025,1187
13,0.2,goco-rank,top15729,0.19388997258948795,2858,4671,1596
14,0.05,global-coarse,global_37.7842,0.030663384362899712,711,966,404
14,0.05,global-dense,global_33.8713,0.04970369515603764,871,1247,528
14,0.05,goco-score,adapt_37.7842_to_32.0342_q0.6,0.0468580916480755,878,1275,501
14,0.05,goco,adapt_37.7842_to_32.0342_q0.75,0.043945944559837934,918,1296,511
14,0.05,goco-rank,top3813,0.047743672590199245,852,1094,735
14,0.1,global-coarse,global_27.1593,0.09369348924276226,1233,1992,752
14,0.1,global-dense,global_26.2163,0.101205605559402,1284,2096,788
14,0.1,goco-score,adapt_27.1593_to_23.0262_q0.225,0.10108098058825037,1316,2163,787
14,0.1,goco,adapt_27.1593_to_23.0262_q0.4,0.101755647870349,1376,2216,814
14,0.1,goco-rank,top7261,0.10211490627484165,1448,2081,1093
14,0.2,global-coarse,global_19.5221,0.1518099177792231,1879,3338,1075
14,0.2,global-dense,global_16.7443,0.19227409729025238,2189,4177,1232
14,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.1812682417205842,2160,4096,1193
14,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.18671888244586143,2165,4039,1217
14,0.2,goco-rank,top13828,0.19252756622304282,2522,4072,1559
15,0.05,global-coarse,global_37.7842,0.029272764571633716,659,915,393
15,0.05,global-dense,global_34.9736,0.03744146985665564,762,1074,455
15,0.05,goco-score,adapt_37.7842_to_32.0342_q0.5,0.0408955817114137,831,1196,479
15,0.05,goco,adapt_37.7842_to_32.0342_q0.75,0.04508744262379157,869,1252,498
15,0.05,goco-rank,top3813,0.03819063004846526,941,1117,719
15,0.1,global-coarse,global_27.1593,0.08715247326717439,1213,1933,736
15,0.1,global-dense,global_27.0694,0.08744864989614586,1217,1940,738
15,0.1,goco-score,adapt_27.1593_to_23.0262_q0.04,0.087701746288176,1218,1945,738
15,0.1,goco,adapt_27.1593_to_23.0262_q0.225,0.08934956535118087,1294,2044,770
15,0.1,goco-rank,top7261,0.08675744288022157,1578,2083,1036
15,0.2,global-coarse,global_19.5221,0.15032716968904367,1809,3254,1057
15,0.2,global-dense,global_17.0145,0.18268351106800218,2083,3953,1183
15,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.17981766752364492,2074,3958,1166
15,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.18554256011445028,2102,3955,1192
15,0.2,goco-rank,top13828,0.18332855441094537,2568,3987,1530
16,0.05,global-coarse,global_37.7842,0.030570556709490472,699,944,411
16,0.05,global-dense,global_34.418,0.043460779034284684,845,1187,499
