repeat,alpha,delta,arm,label,fdp,correct,total,units
33,0.05,0.5,goco-rank,top1844,0.04434159480592575,164,574,292
33,0.05,0.1,goco-rank,top1844,0.04434159480592575,164,574,292
33,0.1,0.5,goco-rank,top5879,0.10221362521911277,302,1878,584
33,0.1,0.1,goco-rank,top5169,0.09144264259027873,283,1639,532
33,0.2,0.5,goco-rank,top12736,0.18838521453881557,462,3929,1014
33,0.2,0.1,goco-rank,top12736,0.18838521453881557,462,3929,1014
34,0.05,0.5,goco-rank,top1844,0.041616642819682075,158,554,268
34,0.05,0.1,goco-rank,top1844,0.041616642819682075,158,554,268
34,0.1,0.5,goco-rank,top4544,0.09150842532543672,260,1308,537
34,0.1,0.1,goco-rank,top4544,0.09150842532543672,260,1308,537
34,0.2,0.5,goco-rank,top11197,0.17942296869069016,426,3257,969
34,0.2,0.1,goco-rank,top11197,0.17942296869069016,426,3257,969
35,0.05,0.5,goco-rank,top1621,0.03847162757040343,166,492,265
35,0.05,0.1,goco-rank,top1621,0.03847162757040343,166,492,265
35,0.1,0.5,goco-rank,top3087,0.09276233358124451,216,994,545
35,0.1,0.1,goco-rank,top3087,0.09276233358124451,216,994,545
35,0.2,0.5,goco-rank,top9843,0.1942941532694593,413,3018,1051
35,0.2,0.1,goco-rank,top8653,0.18200186029438875,388,2686,995
36,0.05,0.5,goco-rank,top2097,0.04447074313051519,155,602,276
36,0.05,0.1,goco-rank,top1844,0.039316535675758976,150,535,252
36,0.1,0.5,goco-rank,top4544,0.08264371995904288,208,1337,471
36,0.1,0.1,goco-rank,top4544,0.08264371995904288,208,1337,471
36,0.2,0.5,goco-rank,top12736,0.1807618209084452,433,3763,974
36,0.2,0.1,goco-rank,top12736,0.1807618209084452,433,3763,974
37,0.05,0.5,goco-rank,top1844,0.05142069833922937,183,615,333
37,0.05,0.1,goco-rank,top1621,0.04422770489676357,171,539,295
37,0.1,0.5,goco-rank,top3087,0.0939925242901182,200,969,543
37,0.1,0.1,goco-rank,top2714,0.08286767755953066,197,853,489
37,0.2,0.5,goco-rank,top9843,0.19632471632979848,385,3097,1057
37,0.2,0.1,goco-rank,top8653,0.1838913166263703,335,2722,990
38,0.05,0.5,goco-rank,top1844,0.03850605037287182,137,525,242
38,0.05,0.1,goco-rank,top1844,0.03850605037287182,137,525,242
38,0.1,0.5,goco-rank,top3994,0.09269959555945204,199,1188,516
38,0.1,0.1,goco-rank,top3512,0.07947044161691692,190,1034,453
