repeat,alpha,arm,label,fdp,correct,total,units
15,0.05,goco-rank,top2648,0.04552820300648186,595,756,498
15,0.1,global-coarse,global_37.7842,0.07863742932009378,868,1629,408
15,0.1,global-dense,global_36.6945,0.0831198980764558,916,1761,421
15,0.1,goco-score,adapt_37.7842_to_32.0342_q0.3,0.08577125650977534,981,1929,436
15,0.1,goco,adapt_37.7842_to_32.0342_q0.5,0.08762371035850557,1022,1912,472
15,0.1,goco-rank,top5736,0.09180802647910632,1242,1663,873
15,0.2,global-coarse,global_27.1593,0.14016130745547378,1455,2943,709
15,0.2,global-dense,global_23.8149,0.17394245234512704,1819,3858,854
15,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.1735664983946154,1856,3987,844
15,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.16636168532509404,1866,3868,843
15,0.2,goco-rank,top12426,0.18173967116871542,2466,3618,1340
16,0.05,global-coarse,global_62.0008,0.03880154461453592,438,700,241
16,0.05,global-dense,global_60.2794,0.040465847075280253,461,749,247
16,0.05,goco-score,adapt_62.0008_to_52.5656_q0.3,0.04013485824615324,497,817,243
16,0.05,goco,adapt_62.0008_to_52.5656_q0.5,0.04219073231278444,523,857,267
16,0.05,goco-rank,top2648,0.04233110703942314,638,804,503
16,0.1,global-coarse,global_37.7842,0.08533272914737541,880,1741,425
16,0.1,global-dense,global_36.1117,0.09408111196485214,976,1936,460
16,0.1,goco-score,adapt_37.7842_to_32.0342_q0.5,0.09338974591353573,1009,2076,459
16,0.1,goco,adapt_37.7842_to_32.0342_q0.5,0.0932383710621195,1004,2004,480
16,0.1,goco-rank,top5736,0.09975505692303376,1266,1739,896
16,0.2,global-coarse,global_27.1593,0.1494273677869044,1432,3061,710
16,0.2,global-dense,global_23.8149,0.18771880044909325,1773,3970,859
16,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.18375220200039497,1813,4068,848
16,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.18411877332269652,1815,4037,855
16,0.2,goco-rank,top12426,0.18202770158524742,2487,3762,1327
17,0.05,global-coarse,global_62.0008,0.033131390744133814,428,643,221
17,0.05,global-dense,global_60.2794,0.03637478574383829,440,677,229
17,0.05,goco-score,adapt_62.0008_to_52.5656_q0.3,0.035776346119747025,460,715,227
17,0.05,goco,adapt_62.0008_to_52.5656_q0.4,0.036029020627696674,457,711,235
17,0.05,goco-rank,top2328,0.03621191822474404,490,658,413
17,0.1,global-coarse,global_37.7842,0.07886711849268738,791,1537,387
17,0.1,global-dense,global_36.6945,0.08435700166151139,835,1654,406
17,0.1,goco-score,adapt_37.7842_to_32.0342_q0.3,0.08538214761839089,867,1735,409
17,0.1,goco,adapt_37.7842_to_32.0342_q0.35,0.08177410669135947,871,1660,425
17,0.1,goco-rank,top4433,0.07447884640576756,869,1233,711
17,0.2,global-coarse,global_27.1593,0.14131305071520214,1299,2764,686
17,0.2,global-dense,global_23.8149,0.18100928164509658,1590,3615,823
17,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.1756235043711619,1614,3695,807
17,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.17651614136226806,1640,3645,826
17,0.2,goco-rank,top10925,0.17502121249395255,1961,3019,1274
18,0.05,global-coarse,global_62.0008,0.04147802273578029,415,680,242
18,0.05,global-dense,global_55.6416,0.050174360186772266,487,856,270
18,0.05,goco-score,adapt_62.0008_to_52.5656_q0.6,0.05006009023385937,478,868,261
18,0.05,goco,adapt_62.0008_to_52.5656_q0.6,0.050843233445633115,496,884,278
18,0.05,goco-rank,top3012,0.04447357207950067,657,899,540
18,0.1,global-coarse,global_37.7842,0.08515180172192997,852,1700,416
18,0.1,global-dense,global_34.9736,0.09731958153555174,954,1971,463
18,0.1,goco-score,adapt_37.7842_to_32.0342_q0.6,0.0992160358833921,995,2085,470
18,0.1,goco,adapt_37.7842_to_32.0342_q0.6,0.09741858265854957,1047,2058,504
18,0.1,goco-rank,top6525,0.09383432386121669,1343,1937,907
18,0.2,global-coarse,global_27.1593,0.15438597512449392,1415,3039,744
18,0.2,global-dense,global_23.4366,0.20243540562238996,1778,4034,917
18,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.1915719045665625,1786,4017,881
18,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.18573945034767883,1790,3906,887
18,0.2,goco-rank,top12426,0.18022407728549467,2310,3672,1295
19,0.05,global-coarse,global_62.0008,0.03500108359438107,423,629,231
19,0.05,global-dense,global_58.3796,0.04093425537364305,466,725,245
19,0.05,goco-score,adapt_62.0008_to_52.5656_q0.3,0.036207321157672834,467,729,233
19,0.05,goco,adapt_62.0008_to_52.5656_q0.5,0.04131499103571921,466,741,250
19,0.05,goco-rank,top2328,0.03404407273873554,462,609,371
19,0.1,global-coarse,global_37.7842,0.07859326464001681,822,1573,401
19,0.1,global-dense,global_36.1117,0.08781777226129729,899,1748,435
19,0.1,goco-score,adapt_37.7842_to_32.0342_q0.4,0.08684089550866547,912,1843,429
19,0.1,goco,adapt_37.7842_to_32.0342_q0.5,0.08345663323942182,918,1752,440
19,0.1,goco-rank,top5043,0.08551865662953788,1006,1438,811
19,0.2,global-coarse,global_27.1593,0.14228067363152178,1350,2799,690
19,0.2,global-dense,global_23.8149,0.18003723995777832,1657,3628,848
19,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.17489676380498742,1667,3659,817
19,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.17289012910286244,1693,3624,834
19,0.2,goco-rank,top10925,0.16934440067315734,2003,3168,1266
20,0.05,global-coarse,global_62.0008,0.0397974663593199,452,681,255
20,0.05,global-dense,global_55.6416,0.04939712748980436,531,856,283
20,0.05,goco-score,adapt_62.0008_to_52.5656_q0.5,0.04756979332899896,513,850,272
20,0.05,goco,adapt_62.0008_to_52.5656_q0.75,0.04623253935417775,533,859,282
20,0.05,goco-rank,top3012,0.042418779675709756,699,898,480
20,0.1,global-coarse,global_37.7842,0.0822950528991075,885,1699,427
20,0.1,global-dense,global_35.5381,0.09552754628261455,981,1934,479
20,0.1,goco-score,adapt_37.7842_to_32.0342_q0.4,0.09237560008143376,1002,1999,466
20,0.1,goco,adapt_37.7842_to_32.0342_q0.6,0.09737802995974282,1066,2051,511
20,0.1,goco-rank,top5736,0.08561973584729066,1227,1659,820
20,0.2,global-coarse,global_27.1593,0.15036915344114352,1475,3006,727
20,0.2,global-dense,global_23.4366,0.19258609379079578,1848,3949,889
20,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.17854606308480825,1839,3891,838
20,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.1800382591156886,1883,3909,876
20,0.2,goco-rank,top12426,0.18970652043676456,2432,3665,1377
21,0.05,global-coarse,global_62.0008,0.03983194436235396,416,653,241
21,0.05,global-dense,global_59.3219,0.04336249187304214,454,718,252
21,0.05,goco-score,adapt_62.0008_to_52.5656_q0.35,0.04318025099986209,469,763,251
21,0.05,goco,adapt_62.0008_to_52.5656_q0.4,0.0438136611698879,474,755,259
21,0.05,goco-rank,top3012,0.04190998285950706,675,834,475
21,0.1,global-coarse,global_37.7842,0.08350917114880706,836,1649,405
21,0.1,global-dense,global_36.6945,0.08858958698635984,880,1781,423
21,0.1,goco-score,adapt_37.7842_to_32.0342_q0.4,0.0900437378095632,938,1947,434
21,0.1,goco,adapt_37.7842_to_32.0342_q0.6,0.09192180388911873,1014,1987,476
21,0.1,goco-rank,top6525,0.09524105049549816,1366,1848,905
21,0.2,global-coarse,global_27.1593,0.14766727778726124,1422,2963,731
21,0.2,global-dense,global_23.8149,0.1881942652197465,1732,3825,876
21,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.1846275511611733,1755,3883,860
21,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.18025265078916908,1775,3840,863
21,0.2,goco-rank,top12426,0.1766961958871991,2447,3589,1351
22,0.05,global-coarse,global_62.0008,0.03921725082254665,393,633,229
22,0.05,global-dense,global_58.3796,0.04525484169671178,437,728,242
22,0.05,goco-score,adapt_62.0008_to_52.5656_q0.4,0.04542526154028016,455,781,243
22,0.05,goco,adapt_62.0008_to_52.5656_q0.75,0.04970545934550899,474,824,262
22,0.05,goco-rank,top2648,0.04733829816577023,602,748,556
22,0.1,global-coarse,global_37.7842,0.08136250500751949,781,1610,386
22,0.1,global-dense,global_36.6945,0.0871725410616598,836,1741,405
22,0.1,goco-score,adapt_37.7842_to_32.0342_q0.35,0.08904026374030512,892,1901,413
22,0.1,goco,adapt_37.7842_to_32.0342_q0.4,0.08710374923655852,902,1808,439
22,0.1,goco-rank,top5043,0.08566109108103316,1045,1393,813
22,0.2,global-coarse,global_27.1593,0.13982860218896628,1358,2860,683
22,0.2,global-dense,global_23.8149,0.18243793517552598,1663,3689,847
22,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.1797072782587921,1697,3761,836
22,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.1786072508554962,1715,3732,850
22,0.2,goco-rank,top10925,0.17472026548360847,2068,3017,1242
23,0.05,global-coarse,global_62.0008,0.03744606655239671,447,692,233
23,0.05,global-dense,global_58.3796,0.04284482928463069,490,789,249
23,0.05,goco-score,adapt_62.0008_to_52.5656_q0.6,0.044230352463699586,504,853,252
23,0.05,goco,adapt_62.0008_to_52.5656_q0.5,0.041533187540634786,505,805,259
23,0.05,goco-rank,top3012,0.04027424788699096,669,878,458
23,0.1,global-coarse,global_37.7842,0.07231153666817713,871,1633,386
23,0.1,global-dense,global_36.6945,0.07938543780496615,903,1724,407
23,0.1,goco-score,adapt_37.7842_to_32.0342_q0.275,0.07727620492411555,919,1777,398
23,0.1,goco,adapt_37.7842_to_32.0342_q0.4,0.07652442027700614,983,1802,428
23,0.1,goco-rank,top5736,0.08096251465279672,1132,1615,745
